datetime;total_votes;ante;Tae4ka;bf6;wintercyclone;rockamark;Helengar;MsRobinson;BlackIrony;gelatelno;Salt
2020-02-26 05:42:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:43:58;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:44:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:45:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:46:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:47:58;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:48:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:49:58;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:50:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:51:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:52:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:53:58;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:54:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:55:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:56:58;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:57:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:58:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 05:59:58;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 06:00:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 06:01:58;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 06:02:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 06:03:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 06:04:58;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 06:05:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 06:06:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 06:07:58;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 06:08:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 06:09:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 06:10:58;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 06:11:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 06:12:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 06:13:58;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 06:14:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 06:15:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 06:16:58;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 06:17:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 06:18:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 06:19:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 06:20:58;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 06:21:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 06:22:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 06:23:58;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 06:24:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 06:25:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 06:26:58;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 06:27:59;45;16;0;7;5;1;1;3;3;1;0
2020-02-26 06:28:59;45;16;0;7;5;1;1;3;3;1;0
