datetime;total_votes;pavelomg;DrumBox;Dirtylieutenant;kamutahirovata;rockamark;megalomaniac;Zabava;mvgolubev;Lay_Lady_Lay;Palad1n
2019-12-25 05:29:59;49;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:30:59;49;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:31:58;49;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:32:59;49;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:33:59;49;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:34:58;49;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:35:59;49;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:36:59;49;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:37:59;49;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:38:58;49;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:39:59;49;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:40:59;49;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:41:59;49;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:42:58;49;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:43:59;49;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:44:59;49;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:45:58;49;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:46:59;49;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:47:59;49;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:48:58;49;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:49:59;49;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:50:58;49;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:51:59;49;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:52:59;49;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:53:58;49;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:54:59;49;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:55:59;49;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:56:59;49;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:57:58;49;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:58:59;49;0;9;7;2;5;3;5;2;2;3
2019-12-25 05:59:59;49;0;9;7;2;5;3;5;2;2;3
2019-12-25 06:00:58;49;0;9;7;2;5;3;5;2;2;3
2019-12-25 06:01:59;49;0;9;7;2;5;3;5;2;2;3
2019-12-25 06:02:59;50;0;10;7;2;5;3;5;2;2;3
2019-12-25 06:03:58;50;0;10;7;2;5;3;5;2;2;3
2019-12-25 06:04:59;50;0;10;7;2;5;3;5;2;2;3
2019-12-25 06:05:59;50;0;10;7;2;5;3;5;2;2;3
