datetime;total_votes;PhaoBao;Есения;bigmouse;Umgewandelt;Trudofobermeins;brammator;Patagonia;kotophalk;bf6;Salt
2020-02-12 05:49:59;30;3;7;4;0;0;3;0;2;0;0
2020-02-12 05:50:59;30;3;7;4;0;0;3;0;2;0;0
2020-02-12 05:51:58;30;3;7;4;0;0;3;0;2;0;0
2020-02-12 05:52:59;30;3;7;4;0;0;3;0;2;0;0
2020-02-12 05:53:59;30;3;7;4;0;0;3;0;2;0;0
2020-02-12 05:54:58;30;3;7;4;0;0;3;0;2;0;0
2020-02-12 05:55:59;30;3;7;4;0;0;3;0;2;0;0
2020-02-12 05:56:59;30;3;7;4;0;0;3;0;2;0;0
2020-02-12 05:57:58;30;3;7;4;0;0;3;0;2;0;0
2020-02-12 05:58:59;30;3;7;4;0;0;3;0;2;0;0
2020-02-12 05:59:59;30;3;7;4;0;0;3;0;2;0;0
2020-02-12 06:00:58;30;3;7;4;0;0;3;0;2;0;0
2020-02-12 06:01:59;30;3;7;4;0;0;3;0;2;0;0
2020-02-12 06:02:59;30;3;7;4;0;0;3;0;2;0;0
2020-02-12 06:03:58;30;3;7;4;0;0;3;0;2;0;0
2020-02-12 06:04:59;30;3;7;4;0;0;3;0;2;0;0
2020-02-12 06:05:59;30;3;7;4;0;0;3;0;2;0;0
2020-02-12 06:06:58;30;3;7;4;0;0;3;0;2;0;0
2020-02-12 06:07:59;30;3;7;4;0;0;3;0;2;0;0
2020-02-12 06:08:59;30;3;7;4;0;0;3;0;2;0;0
2020-02-12 06:09:58;30;3;7;4;0;0;3;0;2;0;0
2020-02-12 06:10:59;30;3;7;4;0;0;3;0;2;0;0
2020-02-12 06:11:59;30;3;7;4;0;0;3;0;2;0;0
2020-02-12 06:12:59;30;3;7;4;0;0;3;0;2;0;0
2020-02-12 06:13:58;30;3;7;4;0;0;3;0;2;0;0
2020-02-12 06:14:59;30;3;7;4;0;0;3;0;2;0;0
2020-02-12 06:15:59;30;3;7;4;0;0;3;0;2;0;0
2020-02-12 06:16:58;30;3;7;4;0;0;3;0;2;0;0
2020-02-12 06:17:59;30;3;7;4;0;0;3;0;2;0;0
2020-02-12 06:18:59;30;3;7;4;0;0;3;0;2;0;0
2020-02-12 06:20:00;30;3;7;4;0;0;3;0;2;0;0
2020-02-12 06:20:58;30;3;7;4;0;0;3;0;2;0;0
2020-02-12 06:21:59;30;3;7;4;0;0;3;0;2;0;0
2020-02-12 06:22:59;30;3;7;4;0;0;3;0;2;0;0
2020-02-12 06:23:58;30;3;7;4;0;0;3;0;2;0;0
2020-02-12 06:24:59;30;3;7;4;0;0;3;0;2;0;0
2020-02-12 06:25:59;30;3;7;4;0;0;3;0;2;0;0
2020-02-12 06:26:58;30;3;7;4;0;0;3;0;2;0;0
2020-02-12 06:27:59;30;3;7;4;0;0;3;0;2;0;0
