datetime;total_votes;jovan;pashkowski;KOCTOPE3;paramed;pupsique;Helengar;yachik;bigmouse;praktik;Есения
2019-05-01 09:29:59;74;37;7;7;5;0;0;4;0;1;0
2019-05-01 09:30:58;74;37;7;7;5;0;0;4;0;1;0
2019-05-01 09:31:59;75;38;7;7;5;0;0;4;0;1;0
2019-05-01 09:32:59;75;38;7;7;5;0;0;4;0;1;0
2019-05-01 09:33:58;75;38;7;7;5;0;0;4;0;1;0
2019-05-01 09:34:59;75;38;7;7;5;0;0;4;0;1;0
2019-05-01 09:35:59;76;38;7;7;6;0;0;4;0;1;0
2019-05-01 09:36:58;76;38;7;7;6;0;0;4;0;1;0
2019-05-01 09:37:59;76;38;7;7;6;0;0;4;0;1;0
2019-05-01 09:38:58;77;38;7;8;6;0;0;4;0;1;1
2019-05-01 09:39:59;77;38;7;8;6;0;0;4;0;1;1
2019-05-01 09:40:59;77;38;7;8;6;0;0;4;0;1;1
2019-05-01 09:41:58;77;38;7;8;6;0;0;4;0;1;1
2019-05-01 09:42:59;77;38;7;8;6;0;0;4;0;1;1
2019-05-01 09:43:58;77;38;7;8;6;0;0;4;0;1;1
2019-05-01 09:44:59;77;38;7;8;6;0;0;4;0;1;1
2019-05-01 09:45:59;78;38;7;8;6;0;0;4;0;1;1
2019-05-01 09:46:58;80;39;7;8;6;0;0;4;2;1;1
2019-05-01 09:47:59;80;39;7;8;6;0;0;4;2;1;1
2019-05-01 09:48:58;80;39;7;8;6;0;0;4;2;1;1
2019-05-01 09:49:59;80;39;7;8;6;0;0;4;2;1;1
2019-05-01 09:50:59;80;39;7;8;6;0;0;4;2;1;1
2019-05-01 09:51:59;81;39;7;8;6;0;0;4;2;2;1
2019-05-01 09:52:58;81;39;7;8;6;0;0;4;2;2;1
2019-05-01 09:53:59;81;39;7;8;6;0;0;4;2;2;1
2019-05-01 09:54:58;81;39;7;8;6;0;0;4;2;2;1
2019-05-01 09:55:59;82;39;7;8;6;0;0;4;2;2;0
2019-05-01 09:56:59;82;39;7;8;6;0;0;4;2;2;0
2019-05-01 09:57:58;82;39;7;8;6;0;0;4;2;2;0
