datetime;total_votes;Good;Tomintoul;megalomaniac;KOCTOPE3;Duran;Mindsplitter;Villanelle;Shambala;quick_justice;Rumpelstilzchen
2021-01-13 05:15:58;91;0;39;13;2;0;3;8;3;0;2
2021-01-13 05:16:59;91;0;39;13;2;0;3;8;3;0;2
2021-01-13 05:17:59;91;0;39;13;2;0;3;8;3;0;2
2021-01-13 05:18:58;91;0;39;13;2;0;3;8;3;0;2
2021-01-13 05:19:59;91;0;39;13;2;0;3;8;3;0;2
2021-01-13 05:20:58;91;0;39;13;2;0;3;8;3;0;2
2021-01-13 05:21:59;91;0;39;13;2;0;3;8;3;0;2
2021-01-13 05:22:59;91;0;39;13;2;0;3;8;3;0;2
2021-01-13 05:23:58;91;0;39;13;2;0;3;8;3;0;2
2021-01-13 05:24:59;91;0;39;13;2;0;3;8;3;0;2
2021-01-13 05:25:58;92;0;40;13;2;0;3;8;3;0;2
2021-01-13 05:26:59;92;0;40;13;2;0;3;8;3;0;2
2021-01-13 05:27:58;92;0;40;13;2;0;3;8;3;0;2
2021-01-13 05:28:59;92;0;40;13;2;0;3;8;3;0;2
2021-01-13 05:29:59;92;0;40;13;2;0;3;8;3;0;2
2021-01-13 05:30:58;92;0;40;13;2;0;3;8;3;0;2
2021-01-13 05:31:59;92;0;40;13;2;0;3;8;3;0;2
2021-01-13 05:32:58;92;0;40;13;2;0;3;8;3;0;2
2021-01-13 05:33:59;92;0;40;13;2;0;3;8;3;0;2
2021-01-13 05:34:58;92;0;40;13;2;0;3;8;3;0;2
2021-01-13 05:35:59;92;0;40;13;2;0;3;8;3;0;2
2021-01-13 05:36:59;92;0;40;13;2;0;3;8;3;0;2
2021-01-13 05:37:58;92;0;40;13;2;0;3;8;3;0;2
2021-01-13 05:38:59;92;0;40;13;2;0;3;8;3;0;2
2021-01-13 05:39:58;92;0;40;13;2;0;3;8;3;0;2
2021-01-13 05:40:59;92;0;40;13;2;0;3;8;3;0;2
2021-01-13 05:41:59;92;0;40;13;2;0;3;8;3;0;2
2021-01-13 05:42:58;92;0;40;13;2;0;3;8;3;0;2
2021-01-13 05:43:59;92;0;40;13;2;0;3;8;3;0;2
2021-01-13 05:44:59;92;0;40;13;2;0;3;8;3;0;2
2021-01-13 05:45:58;92;0;40;13;2;0;3;8;3;0;2
2021-01-13 05:46:59;92;0;40;13;2;0;3;8;3;0;2
2021-01-13 05:47:59;92;0;40;13;2;0;3;8;3;0;2
2021-01-13 05:48:58;92;0;40;13;2;0;3;8;3;0;2
2021-01-13 05:49:59;92;0;40;13;2;0;3;8;3;0;2
2021-01-13 05:50:58;92;0;40;13;2;0;3;8;3;0;2
2021-01-13 05:51:59;92;0;40;13;2;0;3;8;3;0;2
2021-01-13 05:52:59;92;0;40;13;2;0;3;8;3;0;2
2021-01-13 05:53:58;92;0;40;13;2;0;3;8;3;0;2
2021-01-13 05:54:59;92;0;40;13;2;0;3;8;3;0;2
2021-01-13 05:55:59;93;0;41;13;2;0;3;8;3;0;2
2021-01-13 05:56:58;93;0;41;13;2;0;3;8;3;0;2
2021-01-13 05:57:59;93;0;41;13;2;0;3;8;3;0;2
2021-01-13 05:58:58;93;0;41;13;2;0;3;8;3;0;2
2021-01-13 05:59:59;93;0;41;13;2;0;3;8;3;0;2
2021-01-13 06:00:59;93;0;41;13;2;0;3;8;3;0;2
2021-01-13 06:01:58;93;0;41;13;2;0;3;8;3;0;2
2021-01-13 06:02:59;93;0;41;13;2;0;3;8;3;0;2
2021-01-13 06:03:58;93;0;41;13;2;0;3;8;3;0;2
2021-01-13 06:04:59;94;0;42;13;2;0;3;8;3;0;2
2021-01-13 06:05:59;94;0;42;13;2;0;3;8;3;0;2
2021-01-13 06:06:58;94;0;42;13;2;0;3;8;3;0;2
2021-01-13 06:07:59;94;0;42;13;2;0;3;8;3;0;2
2021-01-13 06:08:59;94;0;42;13;2;0;3;8;3;0;2
2021-01-13 06:09:58;94;0;42;13;2;0;3;8;3;0;2
2021-01-13 06:10:59;94;0;42;13;2;0;3;8;3;0;2
2021-01-13 06:11:58;95;0;43;13;2;0;3;8;3;0;2
2021-01-13 06:12:59;95;0;43;13;2;0;3;8;3;0;2
2021-01-13 06:13:58;95;0;43;13;2;0;3;8;3;0;2
2021-01-13 06:14:59;95;0;43;13;2;0;3;8;3;0;2
2021-01-13 06:15:58;95;0;43;13;2;0;3;8;3;0;2
2021-01-13 06:16:59;95;0;43;13;2;0;3;8;3;0;2
2021-01-13 06:17:58;95;0;43;13;2;0;3;8;3;0;2
2021-01-13 06:18:59;95;0;43;13;2;0;3;8;3;0;2
2021-01-13 06:19:58;95;0;43;13;2;0;3;8;3;0;2
2021-01-13 06:20:59;95;0;43;13;2;0;3;8;3;0;2
2021-01-13 06:21:59;95;0;43;13;2;0;3;8;3;0;2
2021-01-13 06:22:58;95;0;43;13;2;0;3;8;3;0;2
2021-01-13 06:23:59;95;0;43;13;2;0;3;8;3;0;2
2021-01-13 06:24:58;95;0;43;13;2;0;3;8;3;0;2
2021-01-13 06:25:59;95;0;43;13;2;0;3;8;3;0;2
2021-01-13 06:26:59;95;0;43;13;2;0;3;8;3;0;2
