datetime;total_votes;Wiedemann;orlando;Lay_Lady_Lay;norpo;kaiL;Dirtylieutenant;xtend;Etinilestradiol;Palad1n;asap
2019-12-11 06:01:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 06:02:58;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 06:03:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 06:04:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 06:05:58;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 06:06:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 06:07:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 06:08:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 06:09:58;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 06:10:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 06:11:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 06:12:58;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 06:13:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 06:14:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 06:15:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 06:16:58;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 06:17:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 06:18:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 06:19:58;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 06:20:59;30;8;0;0;4;0;3;2;2;0;0
2019-12-11 06:21:59;31;8;0;1;4;0;3;2;2;1;1
2019-12-11 06:22:59;31;8;0;1;4;0;3;2;2;1;1
2019-12-11 06:23:58;31;8;0;1;4;0;3;2;2;1;1
2019-12-11 06:24:59;31;8;0;1;4;0;3;2;2;1;1
2019-12-11 06:25:59;31;8;0;1;4;0;3;2;2;1;1
2019-12-11 06:26:59;31;8;0;1;4;0;3;2;2;1;1
