datetime;total_votes;akuaku;telegraf;redslot;Есения;Kolbasevich;Daedra;kilogramm;vjik;BlackTulip;megaslowpoke
2020-06-10 05:10:58;42;14;10;4;2;0;2;1;0;2;0
2020-06-10 05:11:59;42;14;10;4;2;0;2;1;0;2;0
2020-06-10 05:12:59;42;14;10;4;2;0;2;1;0;2;0
2020-06-10 05:13:58;42;14;10;4;2;0;2;1;0;2;0
2020-06-10 05:14:59;42;14;10;4;2;0;2;1;0;2;0
2020-06-10 05:15:59;42;14;10;4;2;0;2;1;0;2;0
2020-06-10 05:16:58;42;14;10;4;2;0;2;1;0;2;0
2020-06-10 05:18:00;42;14;10;4;2;0;2;1;0;2;0
2020-06-10 05:18:58;42;14;10;4;2;0;2;1;0;2;0
2020-06-10 05:19:59;42;14;10;4;2;0;2;1;0;2;0
2020-06-10 05:21:00;42;14;10;4;2;0;2;1;0;2;0
2020-06-10 05:21:58;42;14;10;4;2;0;2;1;0;2;0
2020-06-10 05:22:59;43;14;11;4;2;0;2;1;0;2;0
2020-06-10 05:23:59;43;14;11;4;2;0;2;1;0;2;0
2020-06-10 05:24:58;43;14;11;4;2;0;2;1;0;2;0
2020-06-10 05:25:59;43;14;11;4;2;0;2;1;0;2;0
2020-06-10 05:26:59;43;14;11;4;2;0;2;1;0;2;0
2020-06-10 05:27:58;43;14;11;4;2;0;2;1;0;2;0
2020-06-10 05:28:59;44;15;11;4;2;0;2;1;0;2;0
2020-06-10 05:29:59;44;15;11;4;2;0;2;1;0;2;0
2020-06-10 05:30:58;44;15;11;4;2;0;2;1;0;2;0
2020-06-10 05:31:59;44;15;11;4;2;0;2;1;0;2;0
2020-06-10 05:32:59;44;15;11;4;2;0;2;1;0;2;0
2020-06-10 05:33:58;45;16;11;4;2;0;2;1;0;2;0
2020-06-10 05:34:59;45;16;11;4;2;0;2;1;0;2;0
2020-06-10 05:35:59;45;16;11;4;2;0;2;1;0;2;0
2020-06-10 05:36:58;45;16;11;4;2;0;2;1;0;2;0
2020-06-10 05:37:59;45;16;11;4;2;0;2;1;0;2;0
2020-06-10 05:38:58;45;16;11;4;2;0;2;1;0;2;0
2020-06-10 05:39:59;45;16;11;4;2;0;2;1;0;2;0
2020-06-10 05:40:59;45;16;11;4;2;0;2;1;0;2;0
2020-06-10 05:41:58;45;16;11;4;2;0;2;1;0;2;0
2020-06-10 05:42:59;45;16;11;4;2;0;2;1;0;2;0
2020-06-10 05:43:59;45;16;11;4;2;0;2;1;0;2;0
2020-06-10 05:44:58;45;16;11;4;2;0;2;1;0;2;0
2020-06-10 05:45:59;45;16;11;4;2;0;2;1;0;2;0
2020-06-10 05:46:59;45;16;11;4;2;0;2;1;0;2;0
2020-06-10 05:47:58;45;16;11;4;2;0;2;1;0;2;0
2020-06-10 05:49:00;45;16;11;4;2;0;2;1;0;2;0
2020-06-10 05:49:58;45;16;11;4;2;0;2;1;0;2;0
2020-06-10 05:50:59;45;16;11;4;2;0;2;1;0;2;0
2020-06-10 05:51:59;45;16;11;4;2;0;2;1;0;2;0
2020-06-10 05:52:58;45;16;11;4;2;0;2;1;0;2;0
2020-06-10 05:53:59;45;16;11;4;2;0;2;1;0;2;0
2020-06-10 05:54:59;46;16;11;4;2;0;2;2;0;2;0
2020-06-10 05:55:58;46;16;11;4;2;0;2;2;0;2;0
2020-06-10 05:56:59;46;16;11;4;2;0;2;2;0;2;0
2020-06-10 05:57:58;46;16;11;4;2;0;2;2;0;2;0
2020-06-10 05:58:59;46;16;11;4;2;0;2;2;0;2;0
2020-06-10 05:59:59;46;16;11;4;2;0;2;2;0;2;0
2020-06-10 06:00:58;46;16;11;4;2;0;2;2;0;2;0
2020-06-10 06:01:59;46;16;11;4;2;0;2;2;0;2;0
2020-06-10 06:02:59;46;16;11;4;2;0;2;2;0;2;0
2020-06-10 06:03:58;46;16;11;4;2;0;2;2;0;2;0
2020-06-10 06:04:59;46;16;11;4;2;0;2;2;0;2;0
2020-06-10 06:05:59;46;16;11;4;2;0;2;2;0;2;0
2020-06-10 06:06:58;46;16;11;4;2;0;2;2;0;2;0
2020-06-10 06:07:59;46;16;11;4;2;0;2;2;0;2;0
2020-06-10 06:08:59;46;16;11;4;2;0;2;2;0;2;0
2020-06-10 06:09:58;46;16;11;4;2;0;2;2;0;2;0
2020-06-10 06:10:59;47;16;12;4;2;0;2;2;0;2;0
2020-06-10 06:11:59;47;16;12;4;2;0;2;2;0;2;0
2020-06-10 06:12:58;47;16;12;4;2;0;2;2;0;2;0
2020-06-10 06:13:59;47;16;12;4;2;0;2;2;0;2;0
2020-06-10 06:14:58;47;16;12;4;2;0;2;2;0;2;0
2020-06-10 06:15:59;47;16;12;4;2;0;2;2;0;2;0
2020-06-10 06:16:59;47;16;12;4;2;0;2;2;0;2;0
2020-06-10 06:17:58;47;16;12;4;2;0;2;2;0;2;0
2020-06-10 06:18:59;47;16;12;4;2;0;2;2;0;2;0
2020-06-10 06:19:59;47;16;12;4;2;0;2;2;0;2;0
2020-06-10 06:20:58;47;16;12;4;2;0;2;2;0;2;0
2020-06-10 06:21:59;47;16;12;4;2;0;2;2;0;2;0
2020-06-10 06:22:59;47;16;12;4;2;0;2;2;0;2;0
2020-06-10 06:23:58;47;16;12;4;2;0;2;2;0;2;0
2020-06-10 06:24:59;47;16;12;4;2;0;2;2;0;2;0
2020-06-10 06:25:58;48;16;12;4;2;0;2;2;0;2;0
2020-06-10 06:26:59;48;16;12;4;2;0;2;2;0;2;0
2020-06-10 06:27:58;48;16;12;4;2;0;2;2;0;2;0
