datetime;total_votes;mahinaci9;Hactar;Volodya_FM;Yardrey;dennou;navalny;quick_justice;shamanka2_0;Mindsplitter;Haktar
2020-11-04 05:43:58;89;35;9;14;3;4;3;0;0;4;2
2020-11-04 05:44:59;89;35;9;14;3;4;3;0;0;4;2
2020-11-04 05:45:59;89;35;9;14;3;4;3;0;0;4;2
2020-11-04 05:46:58;89;35;9;14;3;4;3;0;0;4;2
2020-11-04 05:47:59;89;35;9;14;3;4;3;0;0;4;2
2020-11-04 05:48:59;89;35;9;14;3;4;3;0;0;4;2
2020-11-04 05:49:58;89;35;9;14;3;4;3;0;0;4;2
2020-11-04 05:50:59;89;35;9;14;3;4;3;0;0;4;2
2020-11-04 05:51:59;89;35;9;14;3;4;3;0;0;4;2
2020-11-04 05:52:58;89;35;9;14;3;4;3;0;0;4;2
2020-11-04 05:53:59;89;35;9;14;3;4;3;0;0;4;2
2020-11-04 05:54:59;89;35;9;14;3;4;3;0;0;4;2
2020-11-04 05:55:58;89;35;9;14;3;4;3;0;0;4;2
2020-11-04 05:56:59;89;35;9;14;3;4;3;0;0;4;2
2020-11-04 05:57:59;89;35;9;14;3;4;3;0;0;4;2
2020-11-04 05:58:58;89;35;9;14;3;4;3;0;0;4;2
2020-11-04 05:59:59;89;35;9;14;3;4;3;0;0;4;2
2020-11-04 06:00:58;89;35;9;14;3;4;3;0;0;4;2
2020-11-04 06:01:59;89;35;9;14;3;4;3;0;0;4;2
2020-11-04 06:02:59;89;35;9;14;3;4;3;0;0;4;2
2020-11-04 06:03:58;90;36;9;14;3;4;3;0;0;4;2
2020-11-04 06:04:59;90;36;9;14;3;4;3;0;0;4;2
2020-11-04 06:05:59;90;36;9;14;3;4;3;0;0;4;2
2020-11-04 06:06:58;90;36;9;14;3;4;3;0;0;4;2
2020-11-04 06:07:59;90;36;9;14;3;4;3;0;0;4;2
2020-11-04 06:08:59;90;36;9;14;3;4;3;0;0;4;2
2020-11-04 06:09:58;90;36;9;14;3;4;3;0;0;4;2
2020-11-04 06:10:59;90;36;9;14;3;4;3;0;0;4;2
2020-11-04 06:11:59;90;36;9;14;3;4;3;0;0;4;2
2020-11-04 06:12:58;90;36;9;14;3;4;3;0;0;4;2
2020-11-04 06:13:59;90;36;9;14;3;4;3;0;0;4;2
2020-11-04 06:14:59;90;36;9;14;3;4;3;0;0;4;2
2020-11-04 06:15:58;90;36;9;14;3;4;3;0;0;4;2
2020-11-04 06:16:59;90;36;9;14;3;4;3;0;0;4;2
2020-11-04 06:17:59;90;36;9;14;3;4;3;0;0;4;2
2020-11-04 06:18:58;90;36;9;14;3;4;3;0;0;4;2
2020-11-04 06:19:59;91;36;9;14;3;4;3;0;0;4;3
2020-11-04 06:20:58;91;36;9;14;3;4;3;0;0;4;3
2020-11-04 06:21:59;91;36;9;14;3;4;3;0;0;4;3
2020-11-04 06:22:59;91;36;9;14;3;4;3;0;0;4;3
2020-11-04 06:23:58;91;36;9;14;3;4;3;0;0;4;3
2020-11-04 06:24:59;91;36;9;14;3;4;3;0;0;4;3
2020-11-04 06:25:59;91;36;9;14;3;4;3;0;0;4;3
