datetime;total_votes;tutabrain;rockamark;pupsique;markII;Есения;NoEndOutcry;XASSA;kilogramm;kotophalk;wintercyclone
2019-05-15 05:10:59;31;0;8;4;2;0;0;0;3;1;3
2019-05-15 05:11:58;31;0;8;4;2;0;0;0;3;1;3
2019-05-15 05:12:59;31;0;8;4;2;0;0;0;3;1;3
2019-05-15 05:13:59;31;0;8;4;2;0;0;0;3;1;3
2019-05-15 05:14:58;31;0;8;4;2;0;0;0;3;1;3
2019-05-15 05:15:59;31;0;8;4;2;0;0;0;3;1;3
2019-05-15 05:16:59;31;0;8;4;2;0;0;0;3;1;3
2019-05-15 05:17:58;31;0;8;4;2;0;0;0;3;1;3
2019-05-15 05:18:59;31;0;8;4;2;0;0;0;3;1;3
2019-05-15 05:19:58;31;0;8;4;2;0;0;0;3;1;3
2019-05-15 05:20:59;31;0;8;4;2;0;0;0;3;1;3
2019-05-15 05:21:59;31;0;8;4;2;0;0;0;3;1;3
2019-05-15 05:22:58;31;0;8;4;2;0;0;0;3;1;3
2019-05-15 05:23:59;31;0;8;4;2;0;0;0;3;1;3
2019-05-15 05:24:59;32;0;8;4;2;0;0;1;3;0;3
2019-05-15 05:25:58;32;0;8;4;2;0;0;1;3;0;3
2019-05-15 05:26:59;32;0;8;4;2;0;0;1;3;0;3
2019-05-15 05:27:59;32;0;8;4;2;0;0;1;3;0;3
2019-05-15 05:28:58;32;0;8;4;2;0;0;1;3;0;3
2019-05-15 05:29:59;32;0;8;4;2;0;0;1;3;0;3
2019-05-15 05:30:59;32;0;8;4;2;0;0;1;3;0;3
2019-05-15 05:31:58;32;0;8;4;2;0;0;1;3;0;3
2019-05-15 05:32:59;32;0;8;4;2;0;0;1;3;0;3
2019-05-15 05:33:59;32;0;8;4;2;0;0;1;3;0;3
2019-05-15 05:34:58;32;0;8;4;2;0;0;1;3;0;3
2019-05-15 05:35:59;32;0;8;4;2;0;0;1;3;0;3
2019-05-15 05:37:00;32;0;8;4;2;0;0;1;3;0;3
2019-05-15 05:37:58;32;0;8;4;2;0;0;1;3;0;3
2019-05-15 05:38:59;32;0;8;4;2;0;0;1;3;0;3
2019-05-15 05:39:58;33;0;8;5;2;0;0;1;3;0;3
2019-05-15 05:40:59;33;0;8;5;2;0;0;1;3;0;3
2019-05-15 05:41:59;33;0;8;5;2;0;0;1;3;0;3
2019-05-15 05:42:58;33;0;8;5;2;0;0;1;3;0;3
2019-05-15 05:43:59;33;0;8;5;2;0;0;1;3;0;3
2019-05-15 05:44:59;33;0;8;5;2;0;0;1;3;0;3
2019-05-15 05:45:58;33;0;8;5;2;0;0;1;3;0;3
2019-05-15 05:46:59;33;0;8;5;2;0;0;1;3;0;3
2019-05-15 05:47:59;33;0;8;5;2;0;0;1;3;0;3
2019-05-15 05:48:58;33;0;8;5;2;0;0;1;3;0;3
2019-05-15 05:49:59;33;0;8;5;2;0;0;1;3;0;3
2019-05-15 05:50:59;33;0;8;5;2;0;0;1;3;0;3
2019-05-15 05:51:58;33;0;8;5;2;0;0;1;3;0;3
2019-05-15 05:52:59;33;0;8;5;2;0;0;1;3;0;3
2019-05-15 05:53:58;33;0;8;5;2;0;0;1;3;0;3
2019-05-15 05:54:59;33;0;8;5;2;0;0;1;3;0;3
