datetime;total_votes;GlobetrotterXL;shamanka2_0;Yardrey;navalny;Fill;kross;xtend;Mapm;mama_p_zh;kotophalk
2020-11-25 05:13:58;53;16;13;3;3;3;4;1;0;0;2
2020-11-25 05:14:59;53;16;13;3;3;3;4;1;0;0;2
2020-11-25 05:15:59;53;16;13;3;3;3;4;1;0;0;2
2020-11-25 05:16:58;53;16;13;3;3;3;4;1;0;0;2
2020-11-25 05:17:59;54;16;13;3;3;4;4;1;0;0;2
2020-11-25 05:18:58;54;16;13;3;3;4;4;1;0;0;2
2020-11-25 05:19:59;54;16;13;3;3;4;4;1;0;0;2
2020-11-25 05:20:58;54;16;13;3;3;4;4;1;0;0;2
2020-11-25 05:21:59;54;16;13;3;3;4;4;1;0;0;2
2020-11-25 05:22:59;54;16;13;3;3;4;4;1;0;0;2
2020-11-25 05:23:58;54;16;13;3;3;4;4;1;0;0;2
2020-11-25 05:24:59;54;16;13;3;3;4;4;1;0;0;2
2020-11-25 05:25:59;54;16;13;3;3;4;4;1;0;0;2
2020-11-25 05:26:58;54;16;13;3;3;4;4;1;0;0;2
2020-11-25 05:27:59;54;16;13;3;3;4;4;1;0;0;2
2020-11-25 05:28:59;54;16;13;3;3;4;4;1;0;0;2
2020-11-25 05:29:58;54;16;13;3;3;4;4;1;0;0;2
2020-11-25 05:30:59;54;16;13;3;3;4;4;1;0;0;2
2020-11-25 05:31:59;54;16;13;3;3;4;4;1;0;0;2
2020-11-25 05:32:58;54;16;13;3;3;4;4;1;0;0;2
2020-11-25 05:33:59;54;16;13;3;3;4;4;1;0;0;2
2020-11-25 05:34:59;54;16;13;3;3;4;4;1;0;0;2
2020-11-25 05:35:58;54;16;13;3;3;4;4;1;0;0;2
2020-11-25 05:36:59;54;16;13;3;3;4;4;1;0;0;2
2020-11-25 05:37:58;55;16;14;3;3;4;4;1;0;0;2
2020-11-25 05:38:59;55;16;14;3;3;4;4;1;0;0;2
2020-11-25 05:39:59;55;16;14;3;3;4;4;1;0;0;2
2020-11-25 05:40:58;55;16;14;3;3;4;4;1;0;0;2
2020-11-25 05:41:59;55;16;14;3;3;4;4;1;0;0;2
2020-11-25 05:42:59;55;16;14;3;3;4;4;1;0;0;2
2020-11-25 05:43:58;55;16;14;3;3;4;4;1;0;0;2
2020-11-25 05:44:59;55;16;14;3;3;4;4;1;0;0;2
2020-11-25 05:45:59;55;16;14;3;3;4;4;1;0;0;2
2020-11-25 05:46:58;55;16;14;3;3;4;4;1;0;0;2
2020-11-25 05:47:59;55;16;14;3;3;4;4;1;0;0;2
2020-11-25 05:48:59;55;16;14;3;3;4;4;1;0;0;2
2020-11-25 05:49:58;55;16;14;3;3;4;4;1;0;0;2
2020-11-25 05:50:59;55;16;14;3;3;4;4;1;0;0;2
2020-11-25 05:51:59;56;16;14;3;3;4;4;0;0;0;2
2020-11-25 05:52:58;56;16;14;3;3;4;4;0;0;0;2
2020-11-25 05:53:59;56;16;14;3;3;4;4;0;0;0;2
2020-11-25 05:54:58;56;16;14;3;3;4;4;0;0;0;2
2020-11-25 05:55:59;56;16;14;3;3;4;4;0;0;0;2
2020-11-25 05:56:59;56;16;14;3;3;4;4;0;0;0;2
2020-11-25 05:57:58;56;16;14;3;3;4;4;0;0;0;2
2020-11-25 05:58:59;56;16;14;3;3;4;4;0;0;0;2
2020-11-25 05:59:58;56;16;14;3;3;4;4;0;0;0;2
2020-11-25 06:00:59;56;16;14;3;3;4;4;0;0;0;2
2020-11-25 06:01:59;56;16;14;3;3;4;4;0;0;0;2
2020-11-25 06:02:58;57;17;14;3;3;4;4;0;0;0;2
2020-11-25 06:03:59;57;17;14;3;3;4;4;0;0;0;2
2020-11-25 06:04:59;57;17;14;3;3;4;4;0;0;0;2
2020-11-25 06:05:58;57;17;14;3;3;4;4;0;0;0;2
2020-11-25 06:06:59;57;17;14;3;3;4;4;0;0;0;2
2020-11-25 06:07:59;57;17;14;3;3;4;4;0;0;0;2
2020-11-25 06:08:58;57;17;14;3;3;4;4;0;0;0;2
2020-11-25 06:09:59;57;17;14;3;3;4;4;0;0;0;2
2020-11-25 06:10:59;58;17;15;3;3;4;4;0;0;0;2
2020-11-25 06:11:59;58;17;15;3;3;4;4;0;0;0;2
2020-11-25 06:12:59;58;17;15;3;3;4;4;0;0;0;2
2020-11-25 06:13:59;59;17;16;3;3;4;4;0;0;0;2
2020-11-25 06:14:58;60;17;16;3;3;5;4;0;0;0;2
2020-11-25 06:15:59;60;17;16;3;3;5;4;0;0;0;2
2020-11-25 06:16:59;60;17;16;3;3;5;4;0;0;0;2
2020-11-25 06:17:58;60;17;16;3;3;5;4;0;0;0;2
2020-11-25 06:18:59;60;17;16;3;3;5;4;0;0;0;2
2020-11-25 06:19:58;60;17;16;3;3;5;4;0;0;0;2
2020-11-25 06:20:59;60;17;16;3;3;5;4;0;0;0;2
2020-11-25 06:21:59;60;17;16;3;3;5;4;0;0;0;2
2020-11-25 06:22:58;60;17;16;3;3;5;4;0;0;0;2
2020-11-25 06:23:59;60;17;16;3;3;5;4;0;0;0;2
2020-11-25 06:24:59;60;17;16;3;3;5;4;0;0;0;2
2020-11-25 06:25:58;60;17;16;3;3;5;4;0;0;0;2
2020-11-25 06:26:59;61;17;17;3;3;5;4;0;0;0;2
2020-11-25 06:27:59;61;17;17;3;3;5;4;0;0;0;2
