datetime;total_votes;Private_Ryan;Shambala;voklo;praktik;SoulMaker;gelatelno;not;zgushonka;xiro;m0rf
2019-10-23 05:00:58;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 05:01:59;32;0;2;12;6;2;3;0;1;1;1
2019-10-23 05:02:59;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:03:58;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:04:59;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:05:59;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:06:59;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:07:58;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:08:59;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:09:59;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:10:58;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:11:59;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:12:59;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:13:59;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:14:58;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:15:59;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:16:59;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:17:58;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:18:59;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:19:59;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:20:58;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:21:59;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:22:59;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:23:58;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:24:59;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:25:59;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:26:59;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:27:58;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:28:59;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:29:59;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:30:58;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:31:59;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:32:59;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:33:58;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:34:59;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:35:59;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:36:59;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:37:58;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:38:59;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:39:59;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:40:58;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:41:59;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:42:59;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:43:59;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:44:58;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:45:59;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:46:59;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:47:58;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:48:59;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:49:59;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:50:58;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:51:59;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:52:59;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:53:58;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:54:59;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:55:59;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:56:59;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:57:58;33;0;2;12;6;2;4;0;1;1;1
2019-10-23 05:58:59;34;0;3;12;6;2;4;0;1;1;1
2019-10-23 05:59:59;34;0;3;12;6;2;4;0;1;1;1
2019-10-23 06:00:58;34;0;3;12;6;2;4;0;1;1;1
2019-10-23 06:01:59;34;0;3;12;6;2;4;0;1;1;1
2019-10-23 06:02:59;34;0;3;12;6;2;4;0;1;1;1
2019-10-23 06:03:59;34;0;3;12;6;2;4;0;1;1;1
2019-10-23 06:04:58;34;0;3;12;6;2;4;0;1;1;1
2019-10-23 06:05:59;34;0;3;12;6;2;4;0;1;1;1
2019-10-23 06:06:59;34;0;3;12;6;2;4;0;1;1;1
2019-10-23 06:07:58;34;0;3;12;6;2;4;0;1;1;1
2019-10-23 06:08:59;34;0;3;12;6;2;4;0;1;1;1
2019-10-23 06:09:59;34;0;3;12;6;2;4;0;1;1;1
2019-10-23 06:10:59;34;0;3;12;6;2;4;0;1;1;1
2019-10-23 06:11:58;34;0;3;12;6;2;4;0;1;1;1
2019-10-23 06:12:59;34;0;3;12;6;2;4;0;1;1;1
2019-10-23 06:13:59;34;0;3;12;6;2;4;0;1;1;1
2019-10-23 06:14:58;34;0;3;12;6;2;4;0;1;1;1
2019-10-23 06:15:59;34;0;3;12;6;2;4;0;1;1;1
2019-10-23 06:16:59;34;0;3;12;6;2;4;0;1;1;1
2019-10-23 06:17:58;34;0;3;12;6;2;4;0;1;1;1
2019-10-23 06:18:59;34;0;3;12;6;2;4;0;1;1;1
2019-10-23 06:19:59;34;0;3;12;6;2;4;0;1;1;1
2019-10-23 06:20:58;34;0;3;12;6;2;4;0;1;1;1
2019-10-23 06:21:59;34;0;3;12;6;2;4;0;1;1;1
2019-10-23 06:22:59;35;0;3;12;7;2;4;0;1;1;1
2019-10-23 06:23:59;35;0;3;12;7;2;4;0;1;1;1
2019-10-23 06:24:58;35;0;3;12;7;2;4;0;1;1;1
2019-10-23 06:25:59;35;0;3;12;7;2;4;0;1;1;1
2019-10-23 06:26:58;35;0;3;12;7;2;4;0;1;1;1
2019-10-23 06:27:59;35;0;3;12;7;2;4;0;1;1;1
2019-10-23 06:28:59;35;0;3;12;7;2;4;0;1;1;1
