datetime;total_votes;redslot;tutabrain;pupsique;mama_p_zh;ZevB3K;gnom_vorchun;brammator;UncleDre;rockamark;KOCTOPE3
2018-12-12 10:35:58;108;40;29;3;3;5;3;0;2;2;0
2018-12-12 10:36:59;109;40;29;3;3;5;3;0;3;2;2
2018-12-12 10:37:58;110;41;29;3;3;5;3;0;3;2;2
2018-12-12 10:38:59;111;42;29;3;3;5;3;0;3;2;2
2018-12-12 10:39:59;111;42;29;3;3;5;3;0;3;2;2
2018-12-12 10:40:58;111;42;29;3;3;5;3;0;3;2;2
2018-12-12 10:41:59;111;42;29;3;3;5;3;0;3;2;2
2018-12-12 10:42:59;111;42;29;3;3;5;3;0;3;2;2
2018-12-12 10:43:58;112;43;29;3;3;5;3;0;3;2;2
2018-12-12 10:44:59;112;43;29;3;3;5;3;0;3;2;2
2018-12-12 10:45:59;113;44;29;3;3;5;3;0;3;2;2
2018-12-12 10:46:58;113;44;29;3;3;5;3;0;3;2;2
2018-12-12 10:47:59;113;44;29;3;3;5;3;0;3;2;2
2018-12-12 10:48:59;113;44;29;3;3;5;3;0;3;2;2
2018-12-12 10:49:58;113;44;29;3;3;5;3;0;3;2;2
2018-12-12 10:50:59;113;44;29;3;3;5;3;0;3;2;2
2018-12-12 10:51:58;113;44;29;3;3;5;3;0;3;2;2
2018-12-12 10:52:59;113;44;29;3;3;5;3;0;3;2;2
2018-12-12 10:53:59;113;44;29;3;3;5;3;0;3;2;2
2018-12-12 10:54:58;113;44;29;3;3;5;3;0;3;2;2
2018-12-12 10:55:59;113;44;29;3;3;5;3;0;3;2;2
2018-12-12 10:56:58;113;44;29;3;3;5;3;0;3;2;2
2018-12-12 10:57:59;113;44;29;3;3;5;3;0;3;2;2
2018-12-12 10:58:59;113;44;29;3;3;5;3;0;3;2;2
2018-12-12 10:59:58;113;44;29;3;3;5;3;0;3;2;2
2018-12-12 11:00:59;113;44;29;3;3;5;3;0;3;2;2
2018-12-12 11:01:59;113;44;29;3;3;5;3;0;3;2;2
2018-12-12 11:02:58;114;45;29;3;3;5;3;0;3;2;2
2018-12-12 11:03:59;114;45;29;3;3;5;3;0;3;2;2
2018-12-12 11:04:59;114;45;29;3;3;5;3;0;3;2;2
2018-12-12 11:05:58;114;45;29;3;3;5;3;0;3;2;2
2018-12-12 11:06:59;114;45;29;3;3;5;3;0;3;2;2
2018-12-12 11:07:59;114;45;29;3;3;5;3;0;3;2;2
2018-12-12 11:08:58;114;45;29;3;3;5;3;0;3;2;2
2018-12-12 11:09:59;114;45;29;3;3;5;3;0;3;2;2
2018-12-12 11:10:58;114;45;29;3;3;5;3;0;3;2;2
2018-12-12 11:11:59;114;45;29;3;3;5;3;0;3;2;2
2018-12-12 11:12:59;114;45;29;3;3;5;3;0;3;2;2
2018-12-12 11:13:58;114;45;29;3;3;5;3;0;3;2;2
2018-12-12 11:14:59;114;45;29;3;3;5;3;0;3;2;2
2018-12-12 11:15:59;114;45;29;3;3;5;3;0;3;2;2
2018-12-12 11:16:58;114;45;29;3;3;5;3;0;3;2;2
2018-12-12 11:17:59;114;45;29;3;3;5;3;0;3;2;2
2018-12-12 11:18:59;114;45;29;3;3;5;3;0;3;2;2
2018-12-12 11:19:58;114;45;29;3;3;5;3;0;3;2;2
2018-12-12 11:20:59;114;45;29;3;3;5;3;0;3;2;2
2018-12-12 11:21:58;114;45;29;3;3;5;3;0;3;2;2
2018-12-12 11:22:59;114;45;29;3;3;5;3;0;3;2;2
2018-12-12 11:23:59;114;45;29;3;3;5;3;0;3;2;2
2018-12-12 11:24:58;114;45;29;3;3;5;3;0;3;2;2
2018-12-12 11:25:59;114;45;29;3;3;5;3;0;3;2;2
2018-12-12 11:26:59;115;45;30;3;3;5;3;0;3;2;2
2018-12-12 11:27:58;115;45;30;3;3;5;3;0;3;2;2
2018-12-12 11:28:59;115;45;30;3;3;5;3;0;3;2;2
2018-12-12 11:29:59;115;45;30;3;3;5;3;0;3;2;2
2018-12-12 11:30:58;115;45;30;3;3;5;3;0;3;2;2
2018-12-12 11:31:59;115;45;30;3;3;5;3;0;3;2;2
2018-12-12 11:32:58;115;45;30;3;3;5;3;0;3;2;2
2018-12-12 11:33:59;115;45;30;3;3;5;3;0;3;2;2
2018-12-12 11:34:59;116;45;31;3;3;5;3;0;3;2;2
2018-12-12 11:35:58;116;45;31;3;3;5;3;0;3;2;2
2018-12-12 11:36:59;116;45;31;3;3;5;3;0;3;2;2
2018-12-12 11:37:59;116;45;31;3;3;5;3;0;3;2;2
2018-12-12 11:38:58;116;45;31;3;3;5;3;0;3;2;2
2018-12-12 11:39:59;116;45;31;3;3;5;3;0;3;2;2
2018-12-12 11:40:59;116;45;31;3;3;5;3;0;3;2;2
2018-12-12 11:41:58;116;45;31;3;3;5;3;0;3;2;2
2018-12-12 11:42:59;116;45;31;3;3;5;3;0;3;2;2
2018-12-12 11:43:59;116;45;31;3;3;5;3;0;3;2;2
2018-12-12 11:44:58;116;45;31;3;3;5;3;0;3;2;2
2018-12-12 11:45:59;116;45;31;3;3;5;3;0;3;2;2
2018-12-12 11:46:59;117;45;32;3;3;5;3;0;3;2;2
2018-12-12 11:47:58;117;45;32;3;3;5;3;0;3;2;2
2018-12-12 11:48:59;117;45;32;3;3;5;3;0;3;2;2
2018-12-12 11:49:59;117;45;32;3;3;5;3;0;3;2;2
2018-12-12 11:50:58;118;45;33;3;3;5;3;0;3;2;2
2018-12-12 11:51:59;118;45;33;3;3;5;3;0;3;2;2
2018-12-12 11:52:58;119;46;33;3;3;5;3;0;3;2;2
2018-12-12 11:53:59;119;46;33;3;3;5;3;0;3;2;2
2018-12-12 11:54:58;120;47;33;3;3;5;3;0;3;2;2
2018-12-12 11:55:59;120;47;33;3;3;5;3;0;3;2;2
2018-12-12 11:56:59;120;47;33;3;3;5;3;0;3;2;2
2018-12-12 11:57:58;120;47;33;3;3;5;3;0;3;2;2
2018-12-12 11:58:59;120;47;33;3;3;5;3;0;3;2;2
2018-12-12 11:59:59;121;47;34;3;3;5;3;0;3;2;2
2018-12-12 12:00:58;121;47;34;3;3;5;3;0;3;2;2
2018-12-12 12:01:59;121;47;34;3;3;5;3;0;3;2;2
2018-12-12 12:02:59;121;47;34;3;3;5;3;0;3;2;2
2018-12-12 12:03:58;121;47;34;3;3;5;3;0;3;2;2
2018-12-12 12:04:59;122;48;34;3;3;5;3;0;3;2;2
2018-12-12 12:05:59;123;49;34;3;3;5;3;0;3;2;2
2018-12-12 12:06:58;123;49;34;3;3;5;3;0;3;2;2
2018-12-12 12:07:59;123;49;34;3;3;5;3;0;3;2;2
2018-12-12 12:08:58;123;49;34;3;3;5;3;0;3;2;2
2018-12-12 12:09:59;123;49;34;3;3;5;3;0;3;2;2
2018-12-12 12:10:59;123;49;34;3;3;5;3;0;3;2;2
2018-12-12 12:11:58;123;49;34;3;3;5;3;0;3;2;2
2018-12-12 12:12:59;123;49;34;3;3;5;3;0;3;2;2
2018-12-12 12:13:59;123;49;34;3;3;5;3;0;3;2;2
2018-12-12 12:14:58;123;49;34;3;3;5;3;0;3;2;2
2018-12-12 12:15:59;123;49;34;3;3;5;3;0;3;2;2
2018-12-12 12:16:58;124;49;35;3;3;5;3;0;3;2;2
2018-12-12 12:17:59;124;49;35;3;3;5;3;0;3;2;2
2018-12-12 12:18:59;125;50;35;3;3;5;3;0;3;2;2
2018-12-12 12:19:58;125;50;35;3;3;5;3;0;3;2;2
2018-12-12 12:20:59;125;50;35;3;3;5;3;0;3;2;2
2018-12-12 12:21:59;125;50;35;3;3;5;3;0;3;2;2
2018-12-12 12:22:58;125;50;35;3;3;5;3;0;3;2;2
2018-12-12 12:23:59;125;50;35;3;3;5;3;0;3;2;2
2018-12-12 12:24:59;125;50;35;3;3;5;3;0;3;2;2
2018-12-12 12:25:58;125;50;35;3;3;5;3;0;3;2;2
2018-12-12 12:26:59;125;50;35;3;3;5;3;0;3;2;2
2018-12-12 12:27:58;126;50;35;3;4;5;3;0;3;2;2
2018-12-12 12:28:59;126;50;35;3;4;5;3;0;3;2;2
2018-12-12 12:29:59;126;50;35;3;4;5;3;0;3;2;2
2018-12-12 12:30:58;126;50;35;3;4;5;3;0;3;2;2
2018-12-12 12:31:59;126;50;35;3;4;5;3;0;3;2;2
2018-12-12 12:32:58;126;50;35;3;4;5;3;0;3;2;2
2018-12-12 12:33:59;126;50;35;3;4;5;3;0;3;2;2
2018-12-12 12:34:59;127;50;35;3;4;5;3;2;3;2;0
2018-12-12 12:35:58;127;50;35;3;4;5;3;2;3;2;0
2018-12-12 12:36:59;127;50;35;3;4;5;3;2;3;2;0
2018-12-12 12:37:59;127;50;35;3;4;5;3;2;3;2;0
2018-12-12 12:38:58;127;50;35;3;4;5;3;2;3;2;0
2018-12-12 12:39:59;128;51;35;3;4;5;3;2;3;2;0
