datetime;total_votes;Bf109H;Bruja_;navalny;Neymar_Junior;shamanka2_0;Der_Sturmer;roMoceK;Dirtylieutenant;kpya3e;quick_justice
2020-11-18 07:26:59;73;17;13;6;9;0;4;2;5;2;0
2020-11-18 07:27:58;73;17;13;6;9;0;4;2;5;2;0
2020-11-18 07:28:59;73;17;13;6;9;0;4;2;5;2;0
2020-11-18 07:29:59;73;17;13;6;9;0;4;2;5;2;0
2020-11-18 07:30:58;73;17;13;6;9;0;4;2;5;2;0
2020-11-18 07:31:59;73;17;13;6;9;0;4;2;5;2;0
2020-11-18 07:32:59;73;17;13;6;9;0;4;2;5;2;0
2020-11-18 07:33:58;73;17;13;6;9;0;4;2;5;2;0
2020-11-18 07:34:59;73;17;13;6;9;0;4;2;5;2;0
2020-11-18 07:35:59;73;17;13;6;9;0;4;2;5;2;0
2020-11-18 07:36:58;73;17;13;6;9;0;4;2;5;2;0
2020-11-18 07:37:59;74;18;13;6;9;0;4;2;5;2;0
2020-11-18 07:38:59;74;18;13;6;9;0;4;2;5;2;0
2020-11-18 07:39:58;74;18;13;6;9;0;4;2;5;2;0
2020-11-18 07:40:59;74;18;13;6;9;0;4;2;5;2;0
2020-11-18 07:41:59;74;18;13;6;9;0;4;2;5;2;0
2020-11-18 07:42:58;74;18;13;6;9;0;4;2;5;2;0
2020-11-18 07:43:59;74;18;13;6;9;0;4;2;5;2;0
2020-11-18 07:44:59;75;19;13;6;9;0;4;2;5;2;0
2020-11-18 07:45:58;75;19;13;6;9;0;4;2;5;2;0
2020-11-18 07:46:59;75;19;13;6;9;0;4;2;5;2;0
2020-11-18 07:47:59;75;19;13;6;9;0;4;2;5;2;0
2020-11-18 07:48:58;76;19;13;6;9;0;4;2;5;2;0
2020-11-18 07:49:59;76;19;13;6;9;0;4;2;5;2;0
2020-11-18 07:50:59;76;19;13;6;9;0;4;2;5;2;0
2020-11-18 07:51:58;76;19;13;6;9;0;4;2;5;2;0
2020-11-18 07:52:59;76;19;13;6;9;0;4;2;5;2;0
2020-11-18 07:53:59;76;19;13;6;9;0;4;2;5;2;0
2020-11-18 07:54:58;76;19;13;6;9;0;4;2;5;2;0
2020-11-18 07:55:59;76;19;13;6;9;0;4;2;5;2;0
2020-11-18 07:56:59;76;19;13;6;9;0;4;2;5;2;0
2020-11-18 07:57:58;76;19;13;6;9;0;4;2;5;2;0
2020-11-18 07:58:59;76;19;13;6;9;0;4;2;5;2;0
2020-11-18 07:59:58;76;19;13;6;9;0;4;2;5;2;0
2020-11-18 08:00:59;76;19;13;6;9;0;4;2;5;2;0
2020-11-18 08:01:59;76;19;13;6;9;0;4;2;5;2;0
2020-11-18 08:02:58;77;19;13;7;9;0;4;2;5;2;0
2020-11-18 08:03:59;78;20;13;7;9;0;4;2;5;2;0
2020-11-18 08:04:59;78;20;13;7;9;0;4;2;5;2;0
2020-11-18 08:05:58;78;20;13;7;9;0;4;2;5;2;0
2020-11-18 08:06:59;78;20;13;7;9;0;4;2;5;2;0
2020-11-18 08:07:59;78;20;13;7;9;0;4;2;5;2;0
2020-11-18 08:08:58;79;20;13;7;9;0;4;2;5;2;0
2020-11-18 08:09:59;79;20;13;7;9;0;4;2;5;2;0
2020-11-18 08:10:59;79;20;13;7;9;0;4;2;5;2;0
2020-11-18 08:11:58;79;20;13;7;9;0;4;2;5;2;0
2020-11-18 08:12:59;80;20;14;7;9;0;4;2;5;2;0
2020-11-18 08:13:59;80;20;14;7;9;0;4;2;5;2;0
2020-11-18 08:14:58;81;20;15;7;9;0;4;2;5;2;0
2020-11-18 08:15:59;81;20;15;7;9;0;4;2;5;2;0
2020-11-18 08:16:59;81;20;15;7;9;0;4;2;5;2;0
2020-11-18 08:17:58;81;20;15;7;9;0;4;2;5;2;0
2020-11-18 08:18:59;81;20;15;7;9;0;4;2;5;2;0
2020-11-18 08:19:59;81;20;15;7;9;0;4;2;5;2;0
2020-11-18 08:20:58;81;20;15;7;9;0;4;2;5;2;0
2020-11-18 08:21:59;81;20;15;7;9;0;4;2;5;2;0
2020-11-18 08:22:59;81;20;15;7;9;0;4;2;5;2;0
2020-11-18 08:23:58;81;20;15;7;9;0;4;2;5;2;0
2020-11-18 08:24:59;81;20;15;7;9;0;4;2;5;2;0
2020-11-18 08:25:59;81;20;15;7;9;0;4;2;5;2;0
2020-11-18 08:26:58;81;20;15;7;9;0;4;2;5;2;0
2020-11-18 08:27:59;81;20;15;7;9;0;4;2;5;2;0
2020-11-18 08:28:58;82;21;15;7;9;0;4;2;5;2;0
2020-11-18 08:29:59;82;21;15;7;9;0;4;2;5;2;0
2020-11-18 08:30:59;82;21;15;7;9;0;4;2;5;2;0
2020-11-18 08:31:58;82;21;15;7;9;0;4;2;5;2;0
2020-11-18 08:32:59;82;21;15;7;9;0;4;2;5;2;0
2020-11-18 08:33:59;83;22;15;7;9;0;4;2;5;2;0
2020-11-18 08:34:59;83;22;15;7;9;0;4;2;5;2;0
2020-11-18 08:35:58;83;22;15;7;9;0;4;2;5;2;0
2020-11-18 08:36:59;84;23;15;7;9;0;4;2;5;2;0
2020-11-18 08:37:58;84;23;15;7;9;0;4;2;5;2;0
2020-11-18 08:38:59;84;23;15;7;9;0;4;2;5;2;0
2020-11-18 08:39:59;84;23;15;7;9;0;4;2;5;2;0
2020-11-18 08:40:58;84;23;15;7;9;0;4;2;5;2;0
2020-11-18 08:41:59;84;23;15;7;9;0;4;2;5;2;0
2020-11-18 08:42:58;84;23;15;7;9;0;4;2;5;2;0
2020-11-18 08:43:59;84;23;15;7;9;0;4;2;5;2;0
2020-11-18 08:44:59;84;23;15;7;9;0;4;2;5;2;0
2020-11-18 08:45:58;84;23;15;7;9;0;4;2;5;2;0
2020-11-18 08:46:59;84;23;15;7;9;0;4;2;5;2;0
2020-11-18 08:47:59;84;23;15;7;9;0;4;2;5;2;0
2020-11-18 08:48:58;84;23;15;7;9;0;4;2;5;2;0
2020-11-18 08:49:59;84;23;15;7;9;0;4;2;5;2;0
2020-11-18 08:50:58;84;23;15;7;9;0;4;2;5;2;0
2020-11-18 08:51:59;84;23;15;7;9;0;4;2;5;2;0
2020-11-18 08:52:59;85;23;15;7;9;0;4;2;5;2;0
2020-11-18 08:53:58;85;23;15;7;9;0;4;2;5;2;0
2020-11-18 08:54:59;86;24;15;7;9;0;4;2;5;2;0
2020-11-18 08:55:58;86;24;15;7;9;0;4;2;5;2;0
2020-11-18 08:56:59;86;24;15;7;9;0;4;2;5;2;0
2020-11-18 08:57:59;87;25;15;7;9;0;4;2;5;2;0
