datetime;total_votes;Yardrey;vdzrd;jovan;maria_ego;KOCTOPE3;Z-L-O;Есения;XASSA;ZevB3K;brammator
2018-12-19 05:12:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 05:13:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 05:14:58;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 05:15:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 05:16:58;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 05:17:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 05:18:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 05:19:58;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 05:20:59;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 05:21:58;47;10;9;7;0;2;3;4;0;1;0
2018-12-19 05:22:59;48;10;9;7;0;2;3;4;0;1;0
2018-12-19 05:23:59;48;10;9;7;0;2;3;4;0;1;0
2018-12-19 05:24:58;48;10;9;7;0;2;3;4;0;1;0
2018-12-19 05:25:59;48;10;9;7;0;2;3;4;0;1;0
2018-12-19 05:26:59;48;10;9;7;0;2;3;4;0;1;0
2018-12-19 05:27:58;48;10;9;7;0;2;3;4;0;1;0
2018-12-19 05:28:59;48;10;9;7;0;2;3;4;0;1;0
2018-12-19 05:29:59;48;10;9;7;0;2;3;4;0;1;0
2018-12-19 05:30:58;48;10;9;7;0;2;3;4;0;1;0
2018-12-19 05:31:59;48;10;9;7;0;2;3;4;0;1;0
2018-12-19 05:32:58;48;10;9;7;0;2;3;4;0;1;0
2018-12-19 05:33:59;48;10;9;7;0;2;3;4;0;1;0
2018-12-19 05:34:59;48;10;9;7;0;2;3;4;0;1;0
2018-12-19 05:35:58;48;10;9;7;0;2;3;4;0;1;0
2018-12-19 05:36:59;48;10;9;7;0;2;3;4;0;1;0
2018-12-19 05:37:58;48;10;9;7;0;2;3;4;0;1;0
2018-12-19 05:38:59;48;10;9;7;0;2;3;4;0;1;0
2018-12-19 05:39:59;48;10;9;7;0;2;3;4;0;1;0
2018-12-19 05:40:58;48;10;9;7;0;2;3;4;0;1;0
2018-12-19 05:41:59;48;10;9;7;0;2;3;4;0;1;0
2018-12-19 05:42:59;48;10;9;7;0;2;3;4;0;1;0
2018-12-19 05:43:58;48;10;9;7;0;2;3;4;0;1;0
2018-12-19 05:44:59;48;10;9;7;0;2;3;4;0;1;0
2018-12-19 05:45:59;48;10;9;7;0;2;3;4;0;1;0
2018-12-19 05:46:58;48;10;9;7;0;2;3;4;0;1;0
2018-12-19 05:47:59;48;10;9;7;0;2;3;4;0;1;0
2018-12-19 05:48:58;48;10;9;7;0;2;3;4;0;1;0
2018-12-19 05:49:59;49;10;9;8;0;2;3;4;0;1;0
2018-12-19 05:50:59;49;10;9;8;0;2;3;4;0;1;0
2018-12-19 05:51:58;49;10;9;8;0;2;3;4;0;1;0
2018-12-19 05:52:59;49;10;9;8;0;2;3;4;0;1;0
2018-12-19 05:53:58;49;10;9;8;0;2;3;4;0;1;0
2018-12-19 05:54:59;49;10;9;8;0;2;3;4;0;1;0
