datetime;total_votes;Deneo;akuaku;navalny;gelatelno;XASSA;lublu-zubi;Bleak;Есения;BoobkaGop;xiro
2019-10-02 05:35:59;33;0;7;2;8;5;2;2;0;0;0
2019-10-02 05:36:59;33;0;7;2;8;5;2;2;0;0;0
2019-10-02 05:37:58;33;0;7;2;8;5;2;2;0;0;0
2019-10-02 05:38:59;33;0;7;2;8;5;2;2;0;0;0
2019-10-02 05:39:59;33;0;7;2;8;5;2;2;0;0;0
2019-10-02 05:40:58;33;0;7;2;8;5;2;2;0;0;0
2019-10-02 05:41:59;34;0;7;2;8;5;2;2;0;0;0
2019-10-02 05:42:59;34;0;7;2;8;5;2;2;0;0;0
2019-10-02 05:43:59;34;0;7;2;8;5;2;2;0;0;0
2019-10-02 05:44:59;34;0;7;2;8;5;2;2;0;0;0
2019-10-02 05:45:59;34;0;7;2;8;5;2;2;0;0;0
2019-10-02 05:46:58;34;0;7;2;8;5;2;2;0;0;0
2019-10-02 05:47:59;34;0;7;2;8;5;2;2;0;0;0
2019-10-02 05:48:59;34;0;7;2;8;5;2;2;0;0;0
2019-10-02 05:49:58;34;0;7;2;8;5;2;2;0;0;0
2019-10-02 05:50:59;34;0;7;2;8;5;2;2;0;0;0
2019-10-02 05:51:59;34;0;7;2;8;5;2;2;0;0;0
2019-10-02 05:52:59;34;0;7;2;8;5;2;2;0;0;0
2019-10-02 05:53:58;34;0;7;2;8;5;2;2;0;0;0
2019-10-02 05:54:59;34;0;7;2;8;5;2;2;0;0;0
2019-10-02 05:55:58;34;0;7;2;8;5;2;2;0;0;0
2019-10-02 05:56:59;34;0;7;2;8;5;2;2;0;0;0
2019-10-02 05:57:59;34;0;7;2;8;5;2;2;0;0;0
2019-10-02 05:58:59;34;0;7;2;8;5;2;2;0;0;0
2019-10-02 05:59:59;34;0;7;2;8;5;2;2;0;0;0
2019-10-02 06:00:58;34;0;7;2;8;5;2;2;0;0;0
2019-10-02 06:01:59;35;0;7;2;8;5;2;2;0;0;0
2019-10-02 06:02:59;35;0;7;2;8;5;2;2;0;0;0
2019-10-02 06:04:00;35;0;7;2;8;5;2;2;0;0;0
2019-10-02 06:04:58;35;0;7;2;8;5;2;2;0;0;0
2019-10-02 06:05:59;35;0;7;2;8;5;2;2;0;0;0
2019-10-02 06:06:59;35;0;7;2;8;5;2;2;0;0;0
2019-10-02 06:07:58;35;0;7;2;8;5;2;2;0;0;0
2019-10-02 06:08:59;35;0;7;2;8;5;2;2;0;0;0
2019-10-02 06:09:59;35;0;7;2;8;5;2;2;0;0;0
2019-10-02 06:11:00;35;0;7;2;8;5;2;2;0;0;0
2019-10-02 06:11:58;35;0;7;2;8;5;2;2;0;0;0
2019-10-02 06:12:59;35;0;7;2;8;5;2;2;0;0;0
2019-10-02 06:13:58;35;0;7;2;8;5;2;2;0;0;0
2019-10-02 06:14:59;35;0;7;2;8;5;2;2;0;0;0
2019-10-02 06:16:00;35;0;7;2;8;5;2;2;0;0;0
2019-10-02 06:16:58;37;0;8;2;8;5;2;2;0;0;0
2019-10-02 06:17:59;37;0;8;2;8;5;2;2;0;0;0
2019-10-02 06:18:59;37;0;8;2;8;5;2;2;0;0;0
2019-10-02 06:19:59;37;0;8;2;8;5;2;2;0;0;0
2019-10-02 06:20:58;38;0;8;2;8;5;2;2;0;0;1
2019-10-02 06:21:59;38;0;8;2;8;5;2;2;0;0;1
2019-10-02 06:22:59;38;0;8;2;8;5;2;2;0;0;1
2019-10-02 06:23:59;38;0;8;2;8;5;2;2;0;0;1
2019-10-02 06:24:58;38;0;8;2;8;5;2;2;0;0;1
2019-10-02 06:25:59;38;0;8;2;8;5;2;2;0;0;1
2019-10-02 06:26:59;38;0;8;2;8;5;2;2;0;0;1
2019-10-02 06:27:59;38;0;8;2;8;5;2;2;0;0;1
2019-10-02 06:28:58;38;0;8;2;8;5;2;2;0;0;1
