datetime;total_votes;xromota;1917;KOCTOPE3;paramed;nzr;Schopenhauer;kiLstrom;bf6;Salt;Hexadecachoron
2019-11-27 07:41:59;50;12;13;1;0;2;3;3;0;0;0
2019-11-27 07:42:58;50;12;13;1;0;2;3;3;0;0;0
2019-11-27 07:43:59;50;12;13;1;0;2;3;3;0;0;0
2019-11-27 07:44:59;51;13;13;1;0;2;3;3;0;0;0
2019-11-27 07:45:59;51;13;13;1;0;2;3;3;0;0;0
2019-11-27 07:46:58;51;13;13;1;0;2;3;3;0;0;0
2019-11-27 07:47:59;52;13;13;1;0;2;3;3;0;0;0
2019-11-27 07:48:59;52;13;13;1;0;2;3;3;0;0;0
2019-11-27 07:49:58;52;13;13;1;0;2;3;3;0;0;0
2019-11-27 07:50:59;52;13;13;1;0;2;3;3;0;0;0
2019-11-27 07:51:59;52;13;13;1;0;2;3;3;0;0;0
2019-11-27 07:53:00;52;13;13;1;0;2;3;3;0;0;0
2019-11-27 07:53:58;52;13;13;1;0;2;3;3;0;0;0
2019-11-27 07:54:59;52;13;13;1;0;2;3;3;0;0;0
2019-11-27 07:55:59;52;13;13;1;0;2;3;3;0;0;0
2019-11-27 07:56:58;52;13;13;1;0;2;3;3;0;0;0
2019-11-27 07:57:59;52;13;13;1;0;2;3;3;0;0;0
2019-11-27 07:58:59;52;13;13;1;0;2;3;3;0;0;0
2019-11-27 08:00:00;52;13;13;1;0;2;3;3;0;0;0
2019-11-27 08:00:58;52;13;13;1;0;2;3;3;0;0;0
2019-11-27 08:01:59;52;13;13;1;0;2;3;3;0;0;0
2019-11-27 08:02:58;52;13;13;1;0;2;3;3;0;0;0
2019-11-27 08:03:59;52;13;13;1;0;2;3;3;0;0;0
2019-11-27 08:04:59;52;13;13;1;0;2;3;3;0;0;0
2019-11-27 08:05:58;52;13;13;1;0;2;3;3;0;0;0
2019-11-27 08:06:59;52;13;13;1;0;2;3;3;0;0;0
2019-11-27 08:07:59;52;13;13;1;0;2;3;3;0;0;0
2019-11-27 08:08:58;52;13;13;1;0;2;3;3;0;0;0
2019-11-27 08:09:59;52;13;13;1;0;2;3;3;0;0;0
