datetime;total_votes;Tae4ka;phoenyxxx;navalny;ZevB3K;Alterdino;Der_Sturmer;rodeo;Noop;phb4;bf6
2019-08-14 05:38:59;73;19;11;0;2;9;3;5;5;3;0
2019-08-14 05:39:59;73;19;11;0;2;9;3;5;5;3;0
2019-08-14 05:40:58;73;19;11;0;2;9;3;5;5;3;0
2019-08-14 05:41:59;73;19;11;0;2;9;3;5;5;3;0
2019-08-14 05:42:59;73;19;11;0;2;9;3;5;5;3;0
2019-08-14 05:43:58;73;19;11;0;2;9;3;5;5;3;0
2019-08-14 05:44:59;73;19;11;0;2;9;3;5;5;3;0
2019-08-14 05:45:59;73;19;11;0;2;9;3;5;5;3;0
2019-08-14 05:46:58;73;19;11;0;2;9;3;5;5;3;0
2019-08-14 05:47:59;74;20;11;0;2;9;3;5;5;3;0
2019-08-14 05:48:59;74;20;11;0;2;9;3;5;5;3;0
2019-08-14 05:49:58;74;20;11;0;2;9;3;5;5;3;0
2019-08-14 05:50:59;74;20;11;0;2;9;3;5;5;3;0
2019-08-14 05:51:59;75;20;11;0;2;9;3;5;5;3;0
2019-08-14 05:52:58;75;20;11;0;2;9;3;5;5;3;0
2019-08-14 05:53:59;75;20;11;0;2;9;3;5;5;3;0
2019-08-14 05:54:59;75;20;11;0;2;9;3;5;5;3;0
2019-08-14 05:55:58;75;20;11;0;2;9;3;5;5;3;0
2019-08-14 05:56:59;76;21;11;0;2;9;3;5;5;3;0
2019-08-14 05:57:58;76;21;11;0;2;9;3;5;5;3;0
2019-08-14 05:58:59;76;21;11;0;2;9;3;5;5;3;0
2019-08-14 05:59:59;76;21;11;0;2;9;3;5;5;3;0
2019-08-14 06:00:58;76;21;11;0;2;9;3;5;5;3;0
2019-08-14 06:01:59;76;21;11;0;2;9;3;5;5;3;0
2019-08-14 06:02:58;76;21;11;0;2;9;3;5;5;3;0
2019-08-14 06:03:59;76;21;11;0;2;9;3;5;5;3;0
2019-08-14 06:04:59;76;21;11;0;2;9;3;5;5;3;0
2019-08-14 06:05:58;76;21;11;0;2;9;3;5;5;3;0
2019-08-14 06:06:59;76;21;11;0;2;9;3;5;5;3;0
2019-08-14 06:07:59;76;21;11;0;2;9;3;5;5;3;0
2019-08-14 06:08:58;76;21;11;0;2;9;3;5;5;3;0
2019-08-14 06:09:59;76;21;11;0;2;9;3;5;5;3;0
2019-08-14 06:10:59;76;21;11;0;2;9;3;5;5;3;0
2019-08-14 06:11:58;76;21;11;0;2;9;3;5;5;3;0
2019-08-14 06:12:59;76;21;11;0;2;9;3;5;5;3;0
2019-08-14 06:13:59;76;21;11;0;2;9;3;5;5;3;0
2019-08-14 06:15:00;76;21;11;0;2;9;3;5;5;3;0
2019-08-14 06:15:58;76;21;11;0;2;9;3;5;5;3;0
2019-08-14 06:16:59;76;21;11;0;2;9;3;5;5;3;0
2019-08-14 06:17:58;76;21;11;0;2;9;3;5;5;3;0
2019-08-14 06:18:59;76;21;11;0;2;9;3;5;5;3;0
2019-08-14 06:19:59;76;21;11;0;2;9;3;5;5;3;0
2019-08-14 06:20:58;77;22;11;0;2;9;3;5;5;3;0
2019-08-14 06:21:59;77;22;11;0;2;9;3;5;5;3;0
2019-08-14 06:22:59;77;22;11;0;2;9;3;5;5;3;0
2019-08-14 06:23:58;77;22;11;0;2;9;3;5;5;3;0
2019-08-14 06:24:59;77;22;11;0;2;9;3;5;5;3;0
2019-08-14 06:25:59;77;22;11;0;2;9;3;5;5;3;0
2019-08-14 06:26:58;77;22;11;0;2;9;3;5;5;3;0
2019-08-14 06:27:59;77;22;11;0;2;9;3;5;5;3;0
