datetime;total_votes;leprovalentin;Grit;АНАРХИЯ;KOCTOPE3;shamanka2_1;Wiedemann;Rumpelstilzchen;ruweb;Finsternis;shturn
2021-02-10 04:37:58;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 04:38:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 04:39:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 04:40:58;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 04:41:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 04:42:58;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 04:43:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 04:44:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 04:45:58;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 04:46:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 04:47:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 04:48:58;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 04:49:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 04:50:58;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 04:51:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 04:52:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 04:53:58;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 04:54:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 04:55:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 04:56:58;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 04:57:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 04:59:00;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 04:59:58;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:00:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:01:58;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:02:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:03:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:04:58;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:05:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:06:58;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:07:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:08:58;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:09:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:10:58;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:11:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:12:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:13:58;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:14:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:15:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:16:58;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:17:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:18:58;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:19:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:20:58;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:21:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:22:58;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:23:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:24:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:25:58;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:26:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:27:58;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:28:58;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:29:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:30:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:31:58;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:32:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:33:58;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:34:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:35:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:36:58;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:37:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:38:58;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:39:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:40:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:41:58;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:42:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:43:58;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:44:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:45:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:46:58;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:47:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:48:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:49:58;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:50:59;54;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:51:59;55;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:52:58;55;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:53:59;55;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:54:59;55;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:55:58;55;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:56:59;55;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:57:58;55;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:58:59;55;0;14;10;7;2;0;7;1;2;0
2021-02-10 05:59:58;55;0;14;10;7;2;0;7;1;2;0
2021-02-10 06:00:59;55;0;14;10;7;2;0;7;1;2;0
2021-02-10 06:01:59;55;0;14;10;7;2;0;7;1;2;0
2021-02-10 06:02:58;55;0;14;10;7;2;0;7;1;2;0
2021-02-10 06:03:59;55;0;14;10;7;2;0;7;1;2;0
2021-02-10 06:04:58;55;0;14;10;7;2;0;7;1;2;0
2021-02-10 06:05:59;55;0;14;10;7;2;0;7;1;2;0
2021-02-10 06:06:59;55;0;14;10;7;2;0;7;1;2;0
2021-02-10 06:07:58;55;0;14;10;7;2;0;7;1;2;0
2021-02-10 06:08:59;55;0;14;10;7;2;0;7;1;2;0
2021-02-10 06:09:59;55;0;14;10;7;2;0;7;1;2;0
2021-02-10 06:10:58;55;0;14;10;7;2;0;7;1;2;0
2021-02-10 06:11:59;55;0;14;10;7;2;0;7;1;2;0
2021-02-10 06:12:59;55;0;14;10;7;2;0;7;1;2;0
2021-02-10 06:13:58;55;0;14;10;7;2;0;7;1;2;0
2021-02-10 06:14:59;55;0;14;10;7;2;0;7;1;2;0
2021-02-10 06:15:58;55;0;14;10;7;2;0;7;1;2;0
2021-02-10 06:16:59;55;0;14;10;7;2;0;7;1;2;0
2021-02-10 06:17:59;55;0;14;10;7;2;0;7;1;2;0
2021-02-10 06:18:58;55;0;14;10;7;2;0;7;1;2;0
2021-02-10 06:19:59;55;0;14;10;7;2;0;7;1;2;0
2021-02-10 06:20:58;55;0;14;10;7;2;0;7;1;2;0
2021-02-10 06:21:59;55;0;14;10;7;2;0;7;1;2;0
2021-02-10 06:22:58;56;0;15;10;7;2;0;7;1;2;0
2021-02-10 06:23:59;56;0;15;10;7;2;0;7;1;2;0
2021-02-10 06:24:59;56;0;15;10;7;2;0;7;1;2;0
2021-02-10 06:25:58;56;0;15;10;7;2;0;7;1;2;0
