datetime;total_votes;thaisia_b;Есения;pupsique;Wiedemann;Terkin;voklo;Bf109H;XASSA;uisky;akuaku
2019-06-05 04:09:58;47;6;9;0;3;4;9;6;0;3;0
2019-06-05 04:10:59;47;6;9;0;3;4;9;6;0;3;0
2019-06-05 04:11:59;47;6;9;0;3;4;9;6;0;3;0
2019-06-05 04:12:58;47;6;9;0;3;4;9;6;0;3;0
2019-06-05 04:13:59;47;6;9;0;3;4;9;6;0;3;0
2019-06-05 04:14:58;47;6;9;0;3;4;9;6;0;3;0
2019-06-05 04:15:59;47;6;9;0;3;4;9;6;0;3;0
2019-06-05 04:16:59;47;6;9;0;3;4;9;6;0;3;0
2019-06-05 04:17:58;47;6;9;0;3;4;9;6;0;3;0
2019-06-05 04:18:59;47;6;9;0;3;4;9;6;0;3;0
2019-06-05 04:19:59;47;6;9;0;3;4;9;6;0;3;0
2019-06-05 04:20:58;47;6;9;0;3;4;9;6;0;3;0
2019-06-05 04:21:59;47;6;9;0;3;4;9;6;0;3;0
2019-06-05 04:22:59;47;6;9;0;3;4;9;6;0;3;0
2019-06-05 04:23:58;47;6;9;0;3;4;9;6;0;3;0
2019-06-05 04:24:59;47;6;9;0;3;4;9;6;0;3;0
2019-06-05 04:25:59;47;6;9;0;3;4;9;6;0;3;0
2019-06-05 04:26:58;47;6;9;0;3;4;9;6;0;3;0
2019-06-05 04:27:59;47;6;9;0;3;4;9;6;0;3;0
2019-06-05 04:28:59;47;6;9;0;3;4;9;6;0;3;0
2019-06-05 04:29:58;47;6;9;0;3;4;9;6;0;3;0
2019-06-05 04:30:59;47;6;9;0;3;4;9;6;0;3;0
2019-06-05 04:31:59;47;6;9;0;3;4;9;6;0;3;0
2019-06-05 04:32:58;47;6;9;0;3;4;9;6;0;3;0
2019-06-05 04:33:59;47;6;9;0;3;4;9;6;0;3;0
2019-06-05 04:34:59;47;6;9;0;3;4;9;6;0;3;0
2019-06-05 04:35:58;47;6;9;0;3;4;9;6;0;3;0
2019-06-05 04:36:59;47;6;9;0;3;4;9;6;0;3;0
2019-06-05 04:37:58;47;6;9;0;3;4;9;6;0;3;0
2019-06-05 04:38:59;47;6;9;0;3;4;9;6;0;3;0
2019-06-05 04:39:59;47;6;9;0;3;4;9;6;0;3;0
2019-06-05 04:40:58;47;6;9;0;3;4;9;6;0;3;0
2019-06-05 04:41:59;47;6;9;0;3;4;9;6;0;3;0
