datetime;total_votes;Shambala;daruta;pupsique;kilogramm;UncleDre;kuznet;Есения;norpo;mama_p_zh;brammator
2019-03-06 04:09:59;49;19;8;0;4;0;2;0;3;0;0
2019-03-06 04:10:58;49;19;8;0;4;0;2;0;3;0;0
2019-03-06 04:11:59;49;19;8;0;4;0;2;0;3;0;0
2019-03-06 04:12:58;49;19;8;0;4;0;2;0;3;0;0
2019-03-06 04:13:59;49;19;8;0;4;0;2;0;3;0;0
2019-03-06 04:14:59;49;19;8;0;4;0;2;0;3;0;0
2019-03-06 04:15:58;49;19;8;0;4;0;2;0;3;0;0
2019-03-06 04:16:59;49;19;8;0;4;0;2;0;3;0;0
2019-03-06 04:17:59;49;19;8;0;4;0;2;0;3;0;0
2019-03-06 04:18:58;49;19;8;0;4;0;2;0;3;0;0
2019-03-06 04:19:59;50;19;8;0;4;0;2;0;3;0;0
2019-03-06 04:20:59;50;19;8;0;4;0;2;0;3;0;0
2019-03-06 04:21:58;50;19;8;0;4;0;2;0;3;0;0
2019-03-06 04:22:59;50;19;8;0;4;0;2;0;3;0;0
2019-03-06 04:23:59;50;19;8;0;4;0;2;0;3;0;0
2019-03-06 04:24:59;50;19;8;0;4;0;2;0;3;0;0
2019-03-06 04:25:58;50;19;8;0;4;0;2;0;3;0;0
2019-03-06 04:26:59;50;19;8;0;4;0;2;0;3;0;0
2019-03-06 04:27:59;50;19;8;0;4;0;2;0;3;0;0
2019-03-06 04:28:58;50;19;8;0;4;0;2;0;3;0;0
2019-03-06 04:29:59;50;19;8;0;4;0;2;0;3;0;0
2019-03-06 04:30:59;50;19;8;0;4;0;2;0;3;0;0
2019-03-06 04:31:58;50;19;8;0;4;0;2;0;3;0;0
2019-03-06 04:32:59;50;19;8;0;4;0;2;0;3;0;0
2019-03-06 04:33:58;50;19;8;0;4;0;2;0;3;0;0
2019-03-06 04:34:59;50;19;8;0;4;0;2;0;3;0;0
2019-03-06 04:35:59;50;19;8;0;4;0;2;0;3;0;0
2019-03-06 04:36:58;50;19;8;0;4;0;2;0;3;0;0
2019-03-06 04:37:59;50;19;8;0;4;0;2;0;3;0;0
2019-03-06 04:38:59;50;19;8;0;4;0;2;0;3;0;0
2019-03-06 04:39:58;50;19;8;0;4;0;2;0;3;0;0
2019-03-06 04:40:59;50;19;8;0;4;0;2;0;3;0;0
2019-03-06 04:41:58;50;19;8;0;4;0;2;0;3;0;0
2019-03-06 04:42:59;50;19;8;0;4;0;2;0;3;0;0
2019-03-06 04:43:59;51;19;8;0;4;0;2;0;3;1;0
2019-03-06 04:44:58;51;19;8;0;4;0;2;0;3;1;0
2019-03-06 04:45:59;51;19;8;0;4;0;2;0;3;1;0
2019-03-06 04:46:58;51;19;8;0;4;0;2;0;3;1;0
2019-03-06 04:47:59;51;19;8;0;4;0;2;0;3;1;0
2019-03-06 04:48:59;51;19;8;0;4;0;2;0;3;1;0
2019-03-06 04:49:58;51;19;8;0;4;0;2;0;3;1;0
2019-03-06 04:50:59;51;19;8;0;4;0;2;0;3;1;0
2019-03-06 04:51:58;51;19;8;0;4;0;2;0;3;1;0
2019-03-06 04:52:59;51;19;8;0;4;0;2;0;3;1;0
2019-03-06 04:53:59;51;19;8;0;4;0;2;0;3;1;0
2019-03-06 04:54:58;51;19;8;0;4;0;2;0;3;1;0
2019-03-06 04:55:59;51;19;8;0;4;0;2;0;3;1;0
2019-03-06 04:56:58;51;19;8;0;4;0;2;0;3;1;0
2019-03-06 04:57:59;52;19;9;0;4;0;2;0;3;1;0
2019-03-06 04:58:59;52;19;9;0;4;0;2;0;3;1;0
2019-03-06 04:59:58;52;19;9;0;4;0;2;0;3;1;0
2019-03-06 05:00:59;52;19;9;0;4;0;2;0;3;1;0
2019-03-06 05:01:58;52;19;9;0;4;0;2;0;3;1;0
2019-03-06 05:02:59;52;19;9;0;4;0;2;0;3;1;0
2019-03-06 05:03:58;52;19;9;0;4;0;2;0;3;1;0
2019-03-06 05:04:59;52;19;9;0;4;0;2;0;3;1;0
2019-03-06 05:05:58;52;19;9;0;4;0;2;0;3;1;0
2019-03-06 05:06:59;52;19;9;0;4;0;2;0;3;1;0
2019-03-06 05:07:59;52;19;9;0;4;0;2;0;3;1;0
2019-03-06 05:08:58;52;19;9;0;4;0;2;0;3;1;0
2019-03-06 05:09:59;52;19;9;0;4;0;2;0;3;1;0
2019-03-06 05:10:59;52;19;9;0;4;0;2;0;3;1;0
2019-03-06 05:11:58;52;19;9;0;4;0;2;0;3;1;0
2019-03-06 05:12:59;52;19;9;0;4;0;2;0;3;1;0
2019-03-06 05:13:59;52;19;9;0;4;0;2;0;3;1;0
2019-03-06 05:14:58;52;19;9;0;4;0;2;0;3;1;0
2019-03-06 05:15:59;52;19;9;0;4;0;2;0;3;1;0
2019-03-06 05:16:58;52;19;9;0;4;0;2;0;3;1;0
2019-03-06 05:17:59;52;19;9;0;4;0;2;0;3;1;0
2019-03-06 05:18:58;52;19;9;0;4;0;2;0;3;1;0
2019-03-06 05:19:59;52;19;9;0;4;0;2;0;3;1;0
2019-03-06 05:20:59;52;19;9;0;4;0;2;0;3;1;0
2019-03-06 05:21:58;52;19;9;0;4;0;2;0;3;1;0
2019-03-06 05:22:59;52;19;9;0;4;0;2;0;3;1;0
2019-03-06 05:23:58;52;19;9;0;4;0;2;0;3;1;0
2019-03-06 05:24:59;52;19;9;0;4;0;2;0;3;1;0
2019-03-06 05:25:58;52;19;9;0;4;0;2;0;3;1;0
2019-03-06 05:26:59;52;19;9;0;4;0;2;0;3;1;0
2019-03-06 05:27:59;52;19;9;0;4;0;2;0;3;1;0
2019-03-06 05:28:58;52;19;9;0;4;0;2;0;3;1;0
2019-03-06 05:29:59;52;19;9;0;4;0;2;0;3;1;0
2019-03-06 05:30:59;52;19;9;0;4;0;2;0;3;1;0
2019-03-06 05:31:58;52;19;9;0;4;0;2;0;3;1;0
2019-03-06 05:32:59;52;19;9;0;4;0;2;0;3;1;0
2019-03-06 05:33:59;52;19;9;0;4;0;2;0;3;1;0
2019-03-06 05:34:58;52;19;9;0;4;0;2;0;3;1;0
2019-03-06 05:35:59;52;19;9;0;4;0;2;0;3;1;0
2019-03-06 05:36:59;52;19;9;0;4;0;2;0;3;1;0
