datetime;total_votes;Mapm;GlobetrotterXL;Hmmm;NoEndOutcry;John_Golt;Yo;brammator;sergoff;Salt;Wiedemann
2019-07-03 06:41:59;42;8;10;6;0;0;2;2;3;0;1
2019-07-03 06:42:58;42;8;10;6;0;0;2;2;3;0;1
2019-07-03 06:43:59;43;8;10;6;0;0;2;2;3;0;2
2019-07-03 06:44:59;43;8;10;6;0;0;2;2;3;0;2
2019-07-03 06:45:58;43;8;10;6;0;0;2;2;3;0;2
2019-07-03 06:46:59;43;8;10;6;0;0;2;2;3;0;2
2019-07-03 06:47:59;43;8;10;6;0;0;2;2;3;0;2
2019-07-03 06:48:58;43;8;10;6;0;0;2;2;3;0;2
2019-07-03 06:49:59;43;8;10;6;0;0;2;2;3;0;2
2019-07-03 06:50:59;43;8;10;6;0;0;2;2;3;0;2
2019-07-03 06:51:59;43;8;10;6;0;0;2;2;3;0;2
2019-07-03 06:52:59;43;8;10;6;0;0;2;2;3;0;2
2019-07-03 06:54:00;43;8;10;6;0;0;2;2;3;0;2
2019-07-03 06:54:58;43;8;10;6;0;0;2;2;3;0;2
2019-07-03 06:55:59;43;8;10;6;0;0;2;2;3;0;2
2019-07-03 06:56:58;43;8;10;6;0;0;2;2;3;0;2
2019-07-03 06:57:59;43;8;10;6;0;0;2;2;3;0;2
2019-07-03 06:58:59;43;8;10;6;0;0;2;2;3;0;2
2019-07-03 06:59:58;43;8;10;6;0;0;2;2;3;0;2
2019-07-03 07:00:59;43;8;10;6;0;0;2;2;3;0;2
2019-07-03 07:01:59;43;8;10;6;0;0;2;2;3;0;2
2019-07-03 07:02:59;43;8;10;6;0;0;2;2;3;0;2
2019-07-03 07:03:58;43;8;10;6;0;0;2;2;3;0;2
2019-07-03 07:04:59;43;8;10;6;0;0;2;2;3;0;2
2019-07-03 07:05:59;43;8;10;6;0;0;2;2;3;0;2
2019-07-03 07:06:58;43;8;10;6;0;0;2;2;3;0;2
2019-07-03 07:07:59;43;8;10;6;0;0;2;2;3;0;2
2019-07-03 07:08:59;43;8;10;6;0;0;2;2;3;0;2
2019-07-03 07:09:58;43;8;10;6;0;0;2;2;3;0;2
2019-07-03 07:10:59;43;8;10;6;0;0;2;2;3;0;2
2019-07-03 07:11:58;43;8;10;6;0;0;2;2;3;0;2
2019-07-03 07:12:59;43;8;10;6;0;0;2;2;3;0;2
2019-07-03 07:13:59;43;8;10;6;0;0;2;2;3;0;2
2019-07-03 07:14:58;43;8;10;6;0;0;2;2;3;0;2
2019-07-03 07:15:59;43;8;10;6;0;0;2;2;3;0;2
2019-07-03 07:16:58;43;8;10;6;0;0;2;2;3;0;2
2019-07-03 07:17:59;43;8;10;6;0;0;2;2;3;0;2
2019-07-03 07:18:59;43;8;10;6;0;0;2;2;3;0;2
2019-07-03 07:19:58;43;8;10;6;0;0;2;2;3;0;2
2019-07-03 07:20:59;43;8;10;6;0;0;2;2;3;0;2
2019-07-03 07:21:59;43;8;10;6;0;0;2;2;3;0;2
2019-07-03 07:22:58;43;8;10;6;0;0;2;2;3;0;2
2019-07-03 07:23:59;43;8;10;6;0;0;2;2;3;0;2
2019-07-03 07:24:58;43;8;10;6;0;0;2;2;3;0;2
2019-07-03 07:25:59;43;8;10;6;0;0;2;2;3;0;2
2019-07-03 07:26:59;43;8;10;6;0;0;2;2;3;0;2
2019-07-03 07:27:58;44;8;10;6;0;0;2;2;3;0;2
2019-07-03 07:28:59;44;8;10;6;0;0;2;2;3;0;2
2019-07-03 07:29:59;44;8;10;6;0;0;2;2;3;0;2
2019-07-03 07:30:58;44;8;10;6;0;0;2;2;3;0;2
2019-07-03 07:31:59;44;8;10;6;0;0;2;2;3;0;2
2019-07-03 07:32:58;44;8;10;6;0;0;2;2;3;0;2
2019-07-03 07:33:59;44;8;10;6;0;0;2;2;3;0;2
2019-07-03 07:34:59;45;8;10;6;2;0;2;2;3;0;2
2019-07-03 07:35:58;45;8;10;6;2;0;2;2;3;0;2
2019-07-03 07:36:59;46;8;11;6;2;0;2;2;3;0;2
2019-07-03 07:37:59;46;8;11;6;2;0;2;2;3;0;2
2019-07-03 07:38:58;46;8;11;6;2;0;2;2;3;0;2
