datetime;total_votes;leprovalentin;Plancus;daruta;KOCTOPE3;Rumpelstilzchen;yachik;Есения;X-Rayer;pupsique;madcore
2019-02-20 06:09:58;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 06:10:59;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 06:11:59;45;11;14;7;2;3;2;0;0;0;1
2019-02-20 06:12:58;46;11;14;7;2;3;2;0;1;0;2
2019-02-20 06:13:59;46;11;14;7;2;3;2;0;1;0;2
2019-02-20 06:14:58;47;12;14;7;2;3;2;0;1;0;2
2019-02-20 06:15:59;47;12;14;7;2;3;2;0;1;0;2
2019-02-20 06:16:58;47;12;14;7;2;3;2;0;1;0;2
2019-02-20 06:17:59;47;12;14;7;2;3;2;0;1;0;2
2019-02-20 06:18:58;47;12;14;7;2;3;2;0;1;0;2
2019-02-20 06:19:59;47;12;14;7;2;3;2;0;1;0;2
2019-02-20 06:20:59;47;12;14;7;2;3;2;0;1;0;2
2019-02-20 06:21:59;47;12;14;7;2;3;2;0;1;0;2
2019-02-20 06:22:59;47;12;14;7;2;3;2;0;1;0;2
2019-02-20 06:23:59;47;12;14;7;2;3;2;0;1;0;2
2019-02-20 06:24:58;47;12;14;7;2;3;2;0;1;0;2
2019-02-20 06:25:59;47;12;14;7;2;3;2;0;1;0;2
2019-02-20 06:26:58;47;12;14;7;2;3;2;0;1;0;2
2019-02-20 06:27:59;48;13;14;7;2;3;2;0;1;0;2
