datetime;total_votes;heroin;Rumpelstilzchen;1917;navalny;Zippymax;quick_justice;shamanka2_0;Fill;HugoStiglitz;UndeadMoroz
2020-10-14 06:09:59;66;10;19;12;1;0;2;4;0;5;0
2020-10-14 06:10:59;66;10;19;12;1;0;2;4;0;5;0
2020-10-14 06:11:58;66;10;19;12;1;0;2;4;0;5;0
2020-10-14 06:12:59;66;10;19;12;1;0;2;4;0;5;0
2020-10-14 06:13:59;66;10;19;12;1;0;2;4;0;5;0
2020-10-14 06:14:58;66;10;19;12;1;0;2;4;0;5;0
2020-10-14 06:15:59;66;10;19;12;1;0;2;4;0;5;0
2020-10-14 06:16:59;66;10;19;12;1;0;2;4;0;5;0
2020-10-14 06:18:00;66;10;19;12;1;0;2;4;0;5;0
2020-10-14 06:18:58;66;10;19;12;1;0;2;4;0;5;0
2020-10-14 06:19:59;66;10;19;12;1;0;2;4;0;5;0
2020-10-14 06:20:58;66;10;19;12;1;0;2;4;0;5;0
2020-10-14 06:21:59;66;10;19;12;1;0;2;4;0;5;0
2020-10-14 06:22:59;66;10;19;12;1;0;2;4;0;5;0
2020-10-14 06:23:58;66;10;19;12;1;0;2;4;0;5;0
2020-10-14 06:24:59;66;10;19;12;1;0;2;4;0;5;0
2020-10-14 06:25:59;66;10;19;12;1;0;2;4;0;5;0
2020-10-14 06:26:58;66;10;19;12;1;0;2;4;0;5;0
