datetime;total_votes;Shambala;quick_justice;KOCTOPE3;shamanka2_1;Rumpelstilzchen;NAFA;Dirtylieutenant;EMAILWARENFABRIK;Есения;a5urbanipa1
2021-02-17 05:29:58;48;4;13;5;0;8;0;0;0;2;0
2021-02-17 05:30:59;48;4;13;5;0;8;0;0;0;2;0
2021-02-17 05:31:59;48;4;13;5;0;8;0;0;0;2;0
2021-02-17 05:32:58;48;4;13;5;0;8;0;0;0;2;0
2021-02-17 05:33:59;48;4;13;5;0;8;0;0;0;2;0
2021-02-17 05:34:59;48;4;13;5;0;8;0;0;0;2;0
2021-02-17 05:35:58;50;5;14;5;0;8;0;0;0;2;0
2021-02-17 05:36:59;50;5;14;5;0;8;0;0;0;2;0
2021-02-17 05:37:58;51;5;14;5;0;9;0;0;0;2;0
2021-02-17 05:38:59;51;5;14;5;0;9;0;0;0;2;0
2021-02-17 05:39:58;52;5;15;5;0;9;0;0;0;2;0
2021-02-17 05:40:59;52;5;15;5;0;9;0;0;0;2;0
2021-02-17 05:41:59;52;5;15;5;0;9;0;0;0;2;0
2021-02-17 05:42:58;52;5;15;5;0;9;0;0;0;2;0
2021-02-17 05:43:59;52;5;15;5;0;9;0;0;0;2;0
2021-02-17 05:44:59;52;5;15;5;0;9;0;0;0;2;0
2021-02-17 05:45:58;52;5;15;5;0;9;0;0;0;2;0
2021-02-17 05:46:59;52;5;15;5;0;9;0;0;0;2;0
2021-02-17 05:47:59;52;5;15;5;0;9;0;0;0;2;0
2021-02-17 05:48:58;52;5;15;5;0;9;0;0;0;2;0
2021-02-17 05:49:59;52;5;15;5;0;9;0;0;0;2;0
2021-02-17 05:50:58;52;5;15;5;0;9;0;0;0;2;0
2021-02-17 05:51:59;52;5;15;5;0;9;0;0;0;2;0
2021-02-17 05:52:59;52;5;15;5;0;9;0;0;0;2;0
2021-02-17 05:53:58;52;5;15;5;0;9;0;0;0;2;0
2021-02-17 05:54:59;52;5;15;5;0;9;0;0;0;2;0
2021-02-17 05:55:58;53;6;15;5;0;9;0;0;0;2;0
2021-02-17 05:56:59;53;6;15;5;0;9;0;0;0;2;0
2021-02-17 05:57:59;53;6;15;5;0;9;0;0;0;2;0
2021-02-17 05:58:58;53;6;15;5;0;9;0;0;0;2;0
2021-02-17 05:59:59;53;6;15;5;0;9;0;0;0;2;0
2021-02-17 06:00:58;53;6;15;5;0;9;0;0;0;2;0
2021-02-17 06:01:59;53;6;15;5;0;9;0;0;0;2;0
2021-02-17 06:02:58;54;7;15;5;0;9;0;0;0;2;0
2021-02-17 06:03:59;54;7;15;5;0;9;0;0;0;2;0
2021-02-17 06:04:58;55;8;15;5;0;9;0;0;0;2;0
2021-02-17 06:05:59;55;8;15;5;0;9;0;0;0;2;0
2021-02-17 06:06:59;55;8;15;5;0;9;0;0;0;2;0
2021-02-17 06:07:58;55;8;15;5;0;9;0;0;0;2;0
2021-02-17 06:08:59;55;8;15;5;0;9;0;0;0;2;0
2021-02-17 06:09:59;55;8;15;5;0;9;0;0;0;2;0
2021-02-17 06:10:59;56;10;15;5;0;8;0;0;0;2;0
2021-02-17 06:11:59;57;10;15;6;0;8;0;0;0;2;0
2021-02-17 06:12:59;58;10;15;6;0;8;0;0;0;2;0
2021-02-17 06:13:58;58;10;15;6;0;8;0;0;0;2;0
2021-02-17 06:14:59;58;10;15;6;0;8;0;0;0;2;0
2021-02-17 06:15:59;58;10;15;6;0;8;0;0;0;2;0
2021-02-17 06:16:58;58;10;15;6;0;8;0;0;0;2;0
2021-02-17 06:17:59;58;10;15;6;0;8;0;0;0;2;0
2021-02-17 06:18:59;59;11;15;6;0;8;0;0;0;2;0
2021-02-17 06:19:58;59;11;15;6;0;8;0;0;0;2;0
2021-02-17 06:20:59;59;11;15;6;0;8;0;0;0;2;0
2021-02-17 06:21:58;59;11;15;6;0;8;0;0;0;2;0
2021-02-17 06:22:59;59;11;15;6;0;8;0;0;0;2;0
2021-02-17 06:23:59;59;11;15;6;0;8;0;0;0;2;0
