datetime;total_votes;xtal;tutabrain;KOCTOPE3;Krokodilov_Gena;Tae4ka;bf6;brammator;kiLstrom;Mapm;kotophalk
2019-11-13 05:42:59;53;12;10;7;4;0;0;1;1;0;2
2019-11-13 05:43:59;53;12;10;7;4;0;0;1;1;0;2
2019-11-13 05:44:58;53;12;10;7;4;0;0;1;1;0;2
2019-11-13 05:45:59;53;12;10;7;4;0;0;1;1;0;2
2019-11-13 05:46:59;53;12;10;7;4;0;0;1;1;0;2
2019-11-13 05:47:59;53;12;10;7;4;0;0;1;1;0;2
2019-11-13 05:48:58;53;12;10;7;4;0;0;1;1;0;2
2019-11-13 05:49:59;53;12;10;7;4;0;0;1;1;0;2
2019-11-13 05:50:59;53;12;10;7;4;0;0;1;1;0;2
2019-11-13 05:51:58;53;12;10;7;4;0;0;1;1;0;2
2019-11-13 05:52:59;53;12;10;7;4;0;0;1;1;0;2
2019-11-13 05:53:59;53;12;10;7;4;0;0;1;1;0;2
2019-11-13 05:54:59;53;12;10;7;4;0;0;1;1;0;2
2019-11-13 05:55:58;54;12;10;7;4;0;0;1;1;0;2
2019-11-13 05:56:59;54;12;10;7;4;0;0;1;1;0;2
2019-11-13 05:57:59;54;12;10;7;4;0;0;1;1;0;2
2019-11-13 05:58:58;54;12;11;6;4;0;0;1;1;0;2
2019-11-13 05:59:59;54;12;11;6;4;0;0;1;1;0;2
2019-11-13 06:00:59;54;12;11;6;4;0;0;1;1;0;2
2019-11-13 06:01:59;54;12;11;6;4;0;0;1;1;0;2
2019-11-13 06:02:58;54;12;11;6;4;0;0;1;1;0;2
2019-11-13 06:03:59;54;12;11;6;4;0;0;1;1;0;2
2019-11-13 06:04:59;54;12;11;6;4;0;0;1;1;0;2
2019-11-13 06:05:58;54;12;11;6;4;0;0;1;1;0;2
2019-11-13 06:06:59;54;12;11;6;4;0;0;1;1;0;2
2019-11-13 06:07:59;54;12;11;6;4;0;0;1;1;0;2
2019-11-13 06:08:58;54;12;11;6;4;0;0;1;1;0;2
2019-11-13 06:09:59;54;12;11;6;4;0;0;1;1;0;2
2019-11-13 06:10:59;54;12;11;6;4;0;0;1;1;0;2
2019-11-13 06:11:58;54;12;11;6;4;0;0;1;1;0;2
2019-11-13 06:12:59;54;12;11;6;4;0;0;1;1;0;2
2019-11-13 06:13:59;54;12;11;6;4;0;0;1;1;0;2
2019-11-13 06:14:59;54;12;11;6;4;0;0;1;1;0;2
2019-11-13 06:15:58;54;12;11;6;4;0;0;1;1;0;2
2019-11-13 06:16:59;54;12;11;6;4;0;0;1;1;0;2
2019-11-13 06:17:59;54;12;11;6;4;0;0;1;1;0;2
